"","uni","metric","metrix","stage","col","barefoot2025.bad20.003","pval"
"3562","DCompL12.qTau1.4","qTau1","99","99","4",-0.393965479083998,NA
"3563","DCompL2.qTau1.4","qTau1","99","99","4",-0.364268150057375,NA
"3564","DCompL22.qTau1.4","qTau1","99","99","4",-0.319402570034955,NA
"3565","DCompL3.qTau1.4","qTau1","99","99","4",-0.330485932957577,NA
"3566","DCompL32.qTau1.4","qTau1","99","99","4",-0.372508881984982,NA
"3567","DCompR1.qTau1.4","qTau1","99","99","4",-0.0968301368024855,NA
"3568","DCompR12.qTau1.4","qTau1","99","99","4",-0.150489736265745,NA
"3569","L1CompL2.qTau1.4","qTau1","99","99","4",0.456037602680959,NA
"3570","L1CompL22.qTau1.4","qTau1","99","99","4",0.473926452805532,NA
"3571","L1CompL3.qTau1.4","qTau1","99","99","4",0.469507282963084,NA
"3572","L1CompL32.qTau1.4","qTau1","99","99","4",0.452751849587027,NA
"3573","L1CompR1.qTau1.4","qTau1","99","99","4",0.562670761872027,NA
"3574","L1CompR12.qTau1.4","qTau1","99","99","4",0.541275551288252,NA
"3575","L12CompL2.qTau1.4","qTau1","99","99","4",0.0213042069349797,NA
"3576","L12CompL22.qTau1.4","qTau1","99","99","4",0.0534897816106898,NA
"3577","L12CompL3.qTau1.4","qTau1","99","99","4",0.0455388222154073,NA
"3578","L12CompL32.qTau1.4","qTau1","99","99","4",0.0153924881361597,NA
"3579","L12CompR1.qTau1.4","qTau1","99","99","4",0.213158321880945,NA
"3580","L12CompR12.qTau1.4","qTau1","99","99","4",0.174664112183213,NA
"3581","L2CompL3.qTau1.4","qTau1","99","99","4",0.0247621533188889,NA
"3582","L2CompL32.qTau1.4","qTau1","99","99","4",-0.0060404048333609,NA
"3583","L2CompR1.qTau1.4","qTau1","99","99","4",0.196030386873462,NA
"3584","L2CompR12.qTau1.4","qTau1","99","99","4",0.156698236913791,NA
"3585","L22CompL3.qTau1.4","qTau1","99","99","4",-0.00840028902045318,NA
"3586","L22CompL32.qTau1.4","qTau1","99","99","4",-0.0402502717185249,NA
"3587","L22CompR1.qTau1.4","qTau1","99","99","4",0.168691829383486,NA
"3588","L22CompR12.qTau1.4","qTau1","99","99","4",0.12802221066216,NA
"3589","L3CompR1.qTau1.4","qTau1","99","99","4",0.175616885806294,NA
"3590","L3CompR12.qTau1.4","qTau1","99","99","4",0.135286057697516,NA
"3591","L32CompR1.qTau1.4","qTau1","99","99","4",0.200857530906319,NA
"3592","L32CompR12.qTau1.4","qTau1","99","99","4",0.161761536579744,NA
"3593","DCompL1.qTau2.4","qTau2","99","99","4",-3.0767588470672,NA
"3594","DCompL12.qTau2.4","qTau2","99","99","4",-1.51535216136579,NA
"3595","DCompL2.qTau2.4","qTau2","99","99","4",-0.212337756049343,NA
"3596","DCompL22.qTau2.4","qTau2","99","99","4",-0.0866525938110314,NA
"3597","DCompL3.qTau2.4","qTau2","99","99","4",-3.01380769074876,NA
"3598","DCompL32.qTau2.4","qTau2","99","99","4",-3.37806454599643,NA
"3599","DCompR1.qTau2.4","qTau2","99","99","4",-0.0095478217300428,NA
"3600","DCompR12.qTau2.4","qTau2","99","99","4",0.123180849470853,NA
"3601","L1CompL2.qTau2.4","qTau2","99","99","4",0.702622156097977,NA
"3602","L1CompL22.qTau2.4","qTau2","99","99","4",0.733451834024285,NA
"3603","L1CompL3.qTau2.4","qTau2","99","99","4",0.0154414716886503,NA
"3604","L1CompL32.qTau2.4","qTau2","99","99","4",-0.073908148662261,NA
"3605","L1CompR1.qTau2.4","qTau2","99","99","4",0.75236508716813,NA
"3606","L1CompR12.qTau2.4","qTau2","99","99","4",0.784922487833705,NA
"3607","L12CompL2.qTau2.4","qTau2","99","99","4",0.518024642962493,NA
"3608","L12CompL22.qTau2.4","qTau2","99","99","4",0.567991865909942,NA
"3609","L12CompL3.qTau2.4","qTau2","99","99","4",-0.595723951659051,NA
"3610","L12CompL32.qTau2.4","qTau2","99","99","4",-0.740537413902003,NA
"3611","L12CompR1.qTau2.4","qTau2","99","99","4",0.598645534714362,NA
"3612","L12CompR12.qTau2.4","qTau2","99","99","4",0.651412965549504,NA
"3613","L2CompL3.qTau2.4","qTau2","99","99","4",-2.31079987463939,NA
"3614","L2CompL32.qTau2.4","qTau2","99","99","4",-2.61125810373445,NA
"3615","L2CompR1.qTau2.4","qTau2","99","99","4",0.16727181291469,NA
"3616","L2CompR12.qTau2.4","qTau2","99","99","4",0.276753407906353,NA
"3617","L22CompL3.qTau2.4","qTau2","99","99","4",-2.69373589462647,NA
"3618","L22CompL32.qTau2.4","qTau2","99","99","4",-3.02894593077075,NA
"3619","L22CompR1.qTau2.4","qTau2","99","99","4",0.0709562306482628,NA
"3620","L22CompR12.qTau2.4","qTau2","99","99","4",0.193100761436525,NA
"3621","L3CompR1.qTau2.4","qTau2","99","99","4",0.748481267785474,NA
"3622","L3CompR12.qTau2.4","qTau2","99","99","4",0.781549287338781,NA
"3623","L32CompR1.qTau2.4","qTau2","99","99","4",0.769407734599702,NA
"3624","L32CompR12.qTau2.4","qTau2","99","99","4",0.799724480688399,NA
"3625","DCompL1.qNPQ.4","qNPQ","99","99","4",0.930405402203722,NA
"3626","DCompL12.qNPQ.4","qNPQ","99","99","4",0.515888728470434,NA
"3627","DCompL2.qNPQ.4","qNPQ","99","99","4",0.1258120811822,NA
"3628","DCompL22.qNPQ.4","qNPQ","99","99","4",-0.0358488007100773,NA
"3629","DCompL3.qNPQ.4","qNPQ","99","99","4",0.40722263398207,NA
"3630","DCompL32.qNPQ.4","qNPQ","99","99","4",-0.0819358095449892,NA
"3631","DCompR1.qNPQ.4","qNPQ","99","99","4",-0.920515051925041,NA
"3632","DCompR12.qNPQ.4","qNPQ","99","99","4",-0.576794670664355,NA
"3633","L1CompL2.qNPQ.4","qNPQ","99","99","4",-11.5611462167909,NA
