"","uni","metric","metrix","stage","col","ASnormalized.icra2.002r","pval"
"273","qP.21.0","qP","7","21","1",0.643453761197469,3.44254238918818e-79
"274","ABQ.21.0","ABQ","8","21","1",0.239557155501128,1.49307374670679e-30
"275","qm.21.0","qm","9","21","1",0.787317380273705,1.72127119459409e-79
"276","nTau1.21.0","nTau1","10","21","1",1.33454046157286,4.30516840483324e-14
"277","nTau2.21.0","nTau2","11","21","1",4.27152130043116,8.55281163652747e-05
"278","nCon.21.0","nCon","12","21","1",0.707248776919527,0.00321176939077258
"279","Fm.21.0","Fm","13","21","1",2046.07025315253,4.84795095959629e-99
"280","Fo.21.0","Fo","14","21","1",1925.41448735279,3.44254238918818e-79
"281","Quant.22.0","Quant","1","22","1",0.0663335733508354,2.77396235345633e-80
"282","Sigma.22.0","Sigma","2","22","1",3.61978667789568,4.32459003407667e-33
"283","Connect.22.0","Connect","3","22","1",0.329718903277423,3.85333642862214e-09
"284","Tau1.22.0","Tau1","4","22","1",999.214112578965,3.02505361825453e-14
"285","Tau2.22.0","Tau2","5","22","1",9752986.27908161,0.000303716326824226
"286","NPQ.22.0","NPQ","6","22","1",0.282546623742604,1.81511537323088e-97
"287","qP.22.0","qP","7","22","1",0.712530287953599,5.54792470691266e-80
"288","ABQ.22.0","ABQ","8","22","1",0.308328477364437,4.32459003407667e-33
"289","qm.22.0","qm","9","22","1",0.760757762653785,2.77396235345633e-80
"290","nTau1.22.0","nTau1","10","22","1",1.2431508397258,3.02505361825453e-14
"291","nTau2.22.0","nTau2","11","22","1",4.5631363632588,0.000303716326824226
"292","nCon.22.0","nCon","12","22","1",1.30925294114077,3.85333642862214e-09
"293","Fm.22.0","Fm","13","22","1",1990.11562712875,1.81511537323088e-97
"294","Fo.22.0","Fo","14","22","1",1858.10414619996,5.54792470691266e-80
"295","Quant.23.0","Quant","1","23","1",0.182234067312775,2.21074336905653e-69
"296","Sigma.23.0","Sigma","2","23","1",5.10709764035243,9.8113730769756e-43
"297","Connect.23.0","Connect","3","23","1",0.207055321698869,3.3604757939564e-08
"298","Tau1.23.0","Tau1","4","23","1",1342.72121031503,3.47928920318054e-18
"299","Tau2.23.0","Tau2","5","23","1",2163062.10850627,5.47225177339589e-10
"300","NPQ.23.0","NPQ","6","23","1",0.322749852566654,2.6442471880522e-93
"301","qP.23.0","qP","7","23","1",1,4.42148673811306e-69
"302","ABQ.23.0","ABQ","8","23","1",0.0241319957549018,9.8113730769756e-43
"303","qm.23.0","qm","9","23","1",0.342744800524754,2.21074336905653e-69
"304","nTau1.23.0","nTau1","10","23","1",1.67051783907712,3.47928920318054e-18
"305","nTau2.23.0","nTau2","11","23","1",1.01203334864546,5.47225177339589e-10
"306","nCon.23.0","nCon","12","23","1",0.822178486639581,3.3604757939564e-08
"307","Fm.23.0","Fm","13","23","1",1929.62869999848,2.6442471880522e-93
"308","Fo.23.0","Fo","14","23","1",1577.98461359429,4.42148673811306e-69
"309","Quant.24.0","Quant","1","24","1",0.189265860558796,7.30352573275131e-69
"310","Sigma.24.0","Sigma","2","24","1",5.22185540265228,2.09006729004179e-43
"311","Connect.24.0","Connect","3","24","1",0.225925037431664,2.21659855145376e-09
"312","Tau1.24.0","Tau1","4","24","1",1090.05683894498,6.72713278256493e-18
"313","Tau2.24.0","Tau2","5","24","1",1951073.71270663,2.76102295457397e-10
"314","NPQ.24.0","NPQ","6","24","1",0.270892206397893,6.829710289483e-93
"315","qP.24.0","qP","7","24","1",0.94841517919366,1.46070514655026e-68
"316","ABQ.24.0","ABQ","8","24","1",0.00220399743696387,2.09006729004179e-43
"317","qm.24.0","qm","9","24","1",0.317383556380159,7.30352573275131e-69
"318","nTau1.24.0","nTau1","10","24","1",1.35617087231263,6.72713278256493e-18
"319","nTau2.24.0","nTau2","11","24","1",0.912850192863014,2.76102295457397e-10
"320","nCon.24.0","nCon","12","24","1",0.897106646887844,2.21659855145376e-09
"321","Fm.24.0","Fm","13","24","1",2008.36551328434,6.829710289483e-93
"322","Fo.24.0","Fo","14","24","1",1628.25048609597,1.46070514655026e-68
"323","Quant.25.0","Quant","1","25","1",0.191963116137487,2.38833955970117e-68
"324","Sigma.25.0","Sigma","2","25","1",5.40838605752303,4.43998083061814e-43
"325","Connect.25.0","Connect","3","25","1",0.219299404708425,6.09847429707232e-09
"326","Tau1.25.0","Tau1","4","25","1",1193.8010136521,2.04063618896557e-20
"327","Tau2.25.0","Tau2","5","25","1",1903590.62772768,4.12929189142898e-12
"328","NPQ.25.0","NPQ","6","25","1",0.250099514436222,4.50628906210986e-93
"329","qP.25.0","qP","7","25","1",0.926273820903932,4.77667911940233e-68
"330","ABQ.25.0","ABQ","8","25","1",-0.0334384184160221,4.43998083061814e-43
"331","qm.25.0","qm","9","25","1",0.307655489177634,2.38833955970117e-68
"332","nTau1.25.0","nTau1","10","25","1",1.48524196556506,2.04063618896557e-20
"333","nTau2.25.0","nTau2","11","25","1",0.890634249406608,4.12929189142898e-12
"334","nCon.25.0","nCon","12","25","1",0.870797481584935,6.09847429707232e-09
"335","Fm.25.0","Fm","13","25","1",2041.77031424772,4.50628906210986e-93
"336","Fo.25.0","Fo","14","25","1",1649.82572228772,4.77667911940233e-68
"337","Quant.26.0","Quant","1","26","1",0.197360305808905,6.57850897025055e-67
"338","Sigma.26.0","Sigma","2","26","1",5.54092546747966,9.10480354401261e-43
"339","Connect.26.0","Connect","3","26","1",0.276450971208354,7.37723782252182e-12
"340","Tau1.26.0","Tau1","4","26","1",1268.28520301501,1.14388336086037e-20
"341","Tau2.26.0","Tau2","5","26","1",1925389.1720597,1.08614125843288e-11
"342","NPQ.26.0","NPQ","6","26","1",0.246464280955833,5.46300402469245e-92
"343","qP.26.0","qP","7","26","1",0.932677913050054,1.31570179405011e-66
"344","ABQ.26.0","ABQ","8","26","1",-0.0587641471540525,9.10480354401261e-43
"345","qm.26.0","qm","9","26","1",0.288189694299634,6.57850897025055e-67
"346","nTau1.26.0","nTau1","10","26","1",1.57790987466195,1.14388336086037e-20
"347","nTau2.26.0","nTau2","11","26","1",0.900833149257508,1.08614125843288e-11
"348","nCon.26.0","nCon","12","26","1",1.0977358093152,7.37723782252182e-12
"349","Fm.26.0","Fm","13","26","1",2047.72500698864,5.46300402469245e-92
