"","uni","metric","metrix","stage","col","ASnormalized.ahya3.002r","pval"
"1275","Quant.15.3","Quant","1","15","4",0.127955170517471,3.73549053550892e-86
"1276","Sigma.15.3","Sigma","2","15","4",3.77491651024521,5.12433944724075e-47
"1277","Connect.15.3","Connect","3","15","4",0.346628797293064,1.04548299268233e-17
"1278","Tau1.15.3","Tau1","4","15","4",1150.02480257839,1.81049163558448e-18
"1279","Tau2.15.3","Tau2","5","15","4",2929577.8210082,2.37901845905397e-09
"1280","NPQ.15.3","NPQ","6","15","4",0.291205232719912,4.73225975721979e-110
"1281","qP.15.3","qP","7","15","4",0.677423699685045,7.47098107101785e-86
"1282","ABQ.15.3","ABQ","8","15","4",-0.094276391075061,5.12433944724075e-47
"1283","qm.15.3","qm","9","15","4",0.653929546663594,3.73549053550892e-86
"1284","nTau1.15.3","nTau1","10","15","4",1.73942913321325,1.81049163558448e-18
"1285","nTau2.15.3","nTau2","11","15","4",3.02626779079552,2.37901845905397e-09
"1286","nCon.15.3","nCon","12","15","4",0.86083130419522,1.04548299268233e-17
"1287","Fm.15.3","Fm","13","15","4",2173.80503133494,4.73225975721979e-110
"1288","Fo.15.3","Fo","14","15","4",1895.65543787874,7.47098107101785e-86
"1289","Quant.16.3","Quant","1","16","4",0.0515447216353217,5.34569220646673e-92
"1290","Sigma.16.3","Sigma","2","16","4",2.85365246063161,6.76554906948963e-31
"1291","Connect.16.3","Connect","3","16","4",0.3837962557499,6.15830522997798e-08
"1292","Tau1.16.3","Tau1","4","16","4",1027.2620622082,1.59303896670937e-10
"1293","Tau2.16.3","Tau2","5","16","4",8675247.21080543,3.36009107588113e-06
"1294","NPQ.16.3","NPQ","6","16","4",0.222346677337878,2.04863506087525e-107
"1295","qP.16.3","qP","7","16","4",0.467583752793878,1.06913844129335e-91
"1296","ABQ.16.3","ABQ","8","16","4",0.172780508515251,6.76554906948963e-31
"1297","qm.16.3","qm","9","16","4",0.860590977986317,5.34569220646673e-92
"1298","nTau1.16.3","nTau1","10","16","4",1.55374871432641,1.59303896670937e-10
"1299","nTau2.16.3","nTau2","11","16","4",8.96157153531907,3.36009107588113e-06
"1300","nCon.16.3","nCon","12","16","4",0.953134401880345,6.15830522997798e-08
"1301","Fm.16.3","Fm","13","16","4",2296.26216801724,2.04863506087525e-107
"1302","Fo.16.3","Fo","14","16","4",2177.90197376507,1.06913844129335e-91
"1303","Quant.17.3","Quant","1","17","4",0.0508241957023589,3.65505131037271e-88
"1304","Sigma.17.3","Sigma","2","17","4",2.72165743584709,1.08341966415914e-28
"1305","Connect.17.3","Connect","3","17","4",0.555503334681819,6.25769756145916e-14
"1306","Tau1.17.3","Tau1","4","17","4",1257.96182165858,6.48382541160252e-13
"1307","Tau2.17.3","Tau2","5","17","4",16144875.3610156,0.000178744967514688
"1308","NPQ.17.3","NPQ","6","17","4",0.254871764536916,4.58735293230813e-103
"1309","qP.17.3","qP","7","17","4",0.508353439567626,7.31010262074542e-88
"1310","ABQ.17.3","ABQ","8","17","4",0.211043351936838,1.08341966415914e-28
"1311","qm.17.3","qm","9","17","4",0.862539728749985,3.65505131037271e-88
"1312","nTau1.17.3","nTau1","10","17","4",1.90268543439853,6.48382541160252e-13
"1313","nTau2.17.3","nTau2","11","17","4",16.6777328600321,0.000178744967514688
"1314","nCon.17.3","nCon","12","17","4",1.37955837429931,6.25769756145916e-14
"1315","Fm.17.3","Fm","13","17","4",2236.74522823322,4.58735293230813e-103
"1316","Fo.17.3","Fo","14","17","4",2123.06445101718,7.31010262074542e-88
"1317","Quant.18.3","Quant","1","18","4",0.043980843483987,8.02865214396341e-91
"1318","Sigma.18.3","Sigma","2","18","4",2.4878067467558,1.46618523840243e-30
"1319","Connect.18.3","Connect","3","18","4",0.459629893755537,1.65909067930103e-12
"1320","Tau1.18.3","Tau1","4","18","4",1070.09098320641,5.47462778538103e-11
"1321","Tau2.18.3","Tau2","5","18","4",8516505.25917401,2.36061747008683e-06
"1322","NPQ.18.3","NPQ","6","18","4",0.286484944834596,3.0931190901763e-107
"1323","qP.18.3","qP","7","18","4",0.536040016156155,1.60573042879268e-90
"1324","ABQ.18.3","ABQ","8","18","4",0.278832212277117,1.46618523840243e-30
