"","uni","metric","metrix","stage","col","ASnormalized.t3_aabr2.002r","pval"
"251","Fm.19.0","Fm","13","19","1",2501.68103278161,2.38986872536297e-95
"252","Fo.19.0","Fo","14","19","1",2367.59178868098,6.12464660587332e-79
"253","Quant.20.0","Quant","1","20","1",0.0611615484397297,1.40206769724092e-79
"254","Sigma.20.0","Sigma","2","20","1",3.31769779752296,8.97186255439865e-30
"255","Connect.20.0","Connect","3","20","1",0.52262908331552,1.42674856255156e-13
"256","Tau1.20.0","Tau1","4","20","1",1026.28155545341,2.93211063938212e-09
"257","Tau2.20.0","Tau2","5","20","1",7452185.99859508,1.58524641982977e-05
"258","NPQ.20.0","NPQ","6","20","1",0.402039560158265,1.32396503163262e-92
"259","qP.20.0","qP","7","20","1",0.655458731961166,2.80413539448171e-79
"260","ABQ.20.0","ABQ","8","20","1",0.19804946012756,8.97186255439865e-30
"261","qm.20.0","qm","9","20","1",0.838605415911438,1.40206769724092e-79
"262","nTau1.20.0","nTau1","10","20","1",1.71187054115777,2.93211063938212e-09
"263","nTau2.20.0","nTau2","11","20","1",7.40641967777975,1.58524641982977e-05
"264","nCon.20.0","nCon","12","20","1",1.61122182704581,1.42674856255156e-13
"265","Fm.20.0","Fm","13","20","1",2476.80390589802,1.32396503163262e-92
"266","Fo.20.0","Fo","14","20","1",2325.31874383172,2.80413539448171e-79
"267","Quant.21.0","Quant","1","21","1",0.0542231082939007,7.20882822326204e-81
"268","Sigma.21.0","Sigma","2","21","1",3.35437018319828,1.16415614913479e-30
"269","Connect.21.0","Connect","3","21","1",0.266017145167602,1.0110481047192e-05
"270","Tau1.21.0","Tau1","4","21","1",1225.54488599847,3.52793898098651e-12
"271","Tau2.21.0","Tau2","5","21","1",8027995.45274325,2.53470904939847e-05
"272","NPQ.21.0","NPQ","6","21","1",0.444582451675915,1.32844554364584e-97
"273","qP.21.0","qP","7","21","1",0.685054276990178,1.44176564465241e-80
"274","ABQ.21.0","ABQ","8","21","1",0.189185048331921,1.16415614913479e-30
"275","qm.21.0","qm","9","21","1",0.856914740807994,7.20882822326204e-81
"276","nTau1.21.0","nTau1","10","21","1",2.04424816568048,3.52793898098651e-12
"277","nTau2.21.0","nTau2","11","21","1",7.97869289702826,2.53470904939847e-05
"278","nCon.21.0","nCon","12","21","1",0.82010864750076,1.0110481047192e-05
