"","uni","metric","metrix","stage","col","ASnormalized.aabr6.005r","pval"
"310","Sigma.24.0","Sigma","2","24","1",4.72479402476418,1.04970579449978e-43
"311","Connect.24.0","Connect","3","24","1",0.195971009289193,3.24039847221346e-08
"312","Tau1.24.0","Tau1","4","24","1",1328.46710359938,2.74675896096331e-20
"313","Tau2.24.0","Tau2","5","24","1",2153249.349624,1.73831348560877e-11
"314","NPQ.24.0","NPQ","6","24","1",0.295513633967764,1.10670552851698e-92
"315","qP.24.0","qP","7","24","1",0.952707779218182,9.70696754482115e-69
"316","ABQ.24.0","ABQ","8","24","1",-0.160092526686448,1.04970579449978e-43
"317","qm.24.0","qm","9","24","1",0.438411407248466,4.85348377241058e-69
"318","nTau1.24.0","nTau1","10","24","1",1.87864613326293,2.74675896096331e-20
"319","nTau2.24.0","nTau2","11","24","1",1.59494669574544,1.73831348560877e-11
"320","nCon.24.0","nCon","12","24","1",0.563623423150991,3.24039847221346e-08
"321","Fm.24.0","Fm","13","24","1",2642.3879441228,1.10670552851698e-92
"322","Fo.24.0","Fo","14","24","1",2121.09726243913,9.70696754482115e-69
"323","Quant.25.0","Quant","1","25","1",0.204180523919357,1.1882385464774e-67
"324","Sigma.25.0","Sigma","2","25","1",4.72404278171954,2.91251292927859e-43
"325","Connect.25.0","Connect","3","25","1",0.206384435649962,1.94573880770364e-08
"326","Tau1.25.0","Tau1","4","25","1",1277.63787405522,2.03447341118467e-19
"327","Tau2.25.0","Tau2","5","25","1",1795815.40321443,9.22976637396181e-13
"328","NPQ.25.0","NPQ","6","25","1",0.263510634909916,2.54598484971482e-91
"329","qP.25.0","qP","7","25","1",0.927078990957393,2.3764770929548e-67
"330","ABQ.25.0","ABQ","8","25","1",-0.159908071779578,2.91251292927859e-43
"331","qm.25.0","qm","9","25","1",0.418768411728786,1.1882385464774e-67
"332","nTau1.25.0","nTau1","10","25","1",1.80676619338248,2.03447341118467e-19
"333","nTau2.25.0","nTau2","11","25","1",1.33018957791663,9.22976637396181e-13
"334","nCon.25.0","nCon","12","25","1",0.593573011273622,1.94573880770364e-08
"335","Fm.25.0","Fm","13","25","1",2709.31602256534,2.54598484971482e-91
"336","Fo.25.0","Fo","14","25","1",2156.12645761484,2.3764770929548e-67
"337","Quant.26.0","Quant","1","26","1",0.205625806422196,8.05334993533549e-67
"338","Sigma.26.0","Sigma","2","26","1",4.77103208715363,6.18882302692655e-43
"339","Connect.26.0","Connect","3","26","1",0.256737743639348,6.13502010033218e-11
"340","Tau1.26.0","Tau1","4","26","1",1343.48463022096,9.92432532547612e-18
