"","uni","metric","metrix","stage","col","ASnormalized.t5_aabr1.002r","pval"
"244","NPQ.19.0","NPQ","6","19","1",0.282868939657652,8.00651990580646e-94
"245","qP.19.0","qP","7","19","1",0.562194213377505,4.85169395379802e-79
"246","ABQ.19.0","ABQ","8","19","1",0.214784655805838,2.44007291624923e-26
"247","qm.19.0","qm","9","19","1",0.864657834011341,2.42584697689901e-79
"248","nTau1.19.0","nTau1","10","19","1",2.25462524972776,3.73901224976991e-11
"249","nTau2.19.0","nTau2","11","19","1",9.96826393267788,0.000302403849152944
"250","nCon.19.0","nCon","12","19","1",0.802076392293171,0.00115819825294539
"251","Fm.19.0","Fm","13","19","1",2529.80452385487,8.00651990580646e-94
"252","Fo.19.0","Fo","14","19","1",2399.32516113176,4.85169395379802e-79
"253","Quant.20.0","Quant","1","20","1",0.0536635003061367,2.49242880877434e-78
"254","Sigma.20.0","Sigma","2","20","1",3.36151232157966,1.49485603806245e-27
"255","Connect.20.0","Connect","3","20","1",0.601803264467917,5.75779735356093e-16
"256","Tau1.20.0","Tau1","4","20","1",1135.15000771929,2.85592714405258e-10
"257","Tau2.20.0","Tau2","5","20","1",8223924.80695148,5.16177958872869e-05
"258","NPQ.20.0","NPQ","6","20","1",0.304455083662071,2.55548587954626e-92
"259","qP.20.0","qP","7","20","1",0.592025822829024,4.98485761754865e-78
"260","ABQ.20.0","ABQ","8","20","1",0.18735854742333,1.49485603806245e-27
"261","qm.20.0","qm","9","20","1",0.859182296479547,2.49242880877434e-78
"262","nTau1.20.0","nTau1","10","20","1",1.88644353946562,2.85592714405258e-10
"263","nTau2.20.0","nTau2","11","20","1",7.97468632553218,5.16177958872869e-05
"264","nCon.20.0","nCon","12","20","1",1.86958613185946,5.75779735356093e-16
"265","Fm.20.0","Fm","13","20","1",2487.94127732463,2.55548587954626e-92
"266","Fo.20.0","Fo","14","20","1",2354.42963982727,4.98485761754865e-78
"267","Quant.21.0","Quant","1","21","1",0.0490542915956062,2.33532676102025e-79
"268","Sigma.21.0","Sigma","2","21","1",3.50097581953397,5.102368263784e-28
"269","Connect.21.0","Connect","3","21","1",0.2804452264332,2.87549294233612e-05
"270","Tau1.21.0","Tau1","4","21","1",1123.11484576916,4.58769253806442e-12
"271","Tau2.21.0","Tau2","5","21","1",6202733.39115673,5.04578983468322e-09
"272","NPQ.21.0","NPQ","6","21","1",0.3376018757781,4.60976048398503e-97
"273","qP.21.0","qP","7","21","1",0.623362961005036,4.67065352204049e-79
"274","ABQ.21.0","ABQ","8","21","1",0.153643419017743,5.102368263784e-28
"275","qm.21.0","qm","9","21","1",0.871277261995412,2.33532676102025e-79
"276","nTau1.21.0","nTau1","10","21","1",1.8664429639004,4.58769253806442e-12
"277","nTau2.21.0","nTau2","11","21","1",6.01475017300353,5.04578983468322e-09
"278","nCon.21.0","nCon","12","21","1",0.871242376109857,2.87549294233612e-05
"279","Fm.21.0","Fm","13","21","1",2426.28819967147,4.60976048398503e-97
"280","Fo.21.0","Fo","14","21","1",2307.26835082981,4.67065352204049e-79
"281","Quant.22.0","Quant","1","22","1",0.0511534024026209,6.17258750994647e-83
"282","Sigma.22.0","Sigma","2","22","1",3.38537060535855,7.87406730668134e-31
"283","Connect.22.0","Connect","3","22","1",0.36336045044373,5.83677270534305e-09
"284","Tau1.22.0","Tau1","4","22","1",1319.73817969047,2.0194780523477e-13
"285","Tau2.22.0","Tau2","5","22","1",9174871.89124396,5.84346871252434e-05
"286","NPQ.22.0","NPQ","6","22","1",0.365578009222243,1.77829986232976e-98
"287","qP.22.0","qP","7","22","1",0.658085987920911,1.23451750198929e-82
"288","ABQ.22.0","ABQ","8","22","1",0.181590836782616,7.87406730668134e-31
