"","uni","metric","metrix","stage","col","ASnormalized.ahya5.002r","pval"
"233","qm.18.0","qm","9","18","1",0.903417194496829,1.59805217219255e-84
"234","nTau1.18.0","nTau1","10","18","1",3.07426752006364,2.07901783555626e-09
"235","nTau2.18.0","nTau2","11","18","1",22.31176337015,0.0054949560666679
"236","nCon.18.0","nCon","12","18","1",1.63764907252063,2.51927682028757e-15
"237","Fm.18.0","Fm","13","18","1",2707.47363556029,2.49113669149949e-98
"238","Fo.18.0","Fo","14","18","1",2606.28703898643,3.19610434438508e-84
"239","Quant.19.0","Quant","1","19","1",0.0359942139238869,2.7805152981172e-81
"240","Sigma.19.0","Sigma","2","19","1",2.95854112867997,1.8586741806432e-24
"241","Connect.19.0","Connect","3","19","1",0.451656631633242,1.15922456652138e-08
"242","Tau1.19.0","Tau1","4","19","1",2198.07961972873,2.25821805430027e-09
"243","Tau2.19.0","Tau2","5","19","1",10151144.0485854,0.000101872654197653
"244","NPQ.19.0","NPQ","6","19","1",0.294247707607063,3.92952610752639e-95
"245","qP.19.0","qP","7","19","1",0.549589817996777,5.56103059623436e-81
"246","ABQ.19.0","ABQ","8","19","1",0.310659818725136,1.8586741806432e-24
"247","qm.19.0","qm","9","19","1",0.906980552067655,2.7805152981172e-81
"248","nTau1.19.0","nTau1","10","19","1",2.72271555387066,2.25821805430027e-09
"249","nTau2.19.0","nTau2","11","19","1",11.7174081201597,0.000101872654197653
"250","nCon.19.0","nCon","12","19","1",1.34574350611656,1.15922456652138e-08
"251","Fm.19.0","Fm","13","19","1",2643.40327384197,3.92952610752639e-95
"252","Fo.19.0","Fo","14","19","1",2548.2560509162,5.56103059623436e-81
"253","Quant.20.0","Quant","1","20","1",0.0398803950176437,4.89141192374619e-84
"254","Sigma.20.0","Sigma","2","20","1",3.16821300168831,1.95987975859431e-26
"255","Connect.20.0","Connect","3","20","1",0.449273670883527,1.19317997458487e-08
"256","Tau1.20.0","Tau1","4","20","1",1845.25640717266,7.21110399608847e-07
"257","Tau2.20.0","Tau2","5","20","1",8917525.97234138,0.00135554813020855
"258","NPQ.20.0","NPQ","6","20","1",0.316586089907644,1.77396912695897e-96
"259","qP.20.0","qP","7","20","1",0.583167511513044,9.78282384749061e-84
"260","ABQ.20.0","ABQ","8","20","1",0.261806265348207,1.95987975859431e-26
"261","qm.20.0","qm","9","20","1",0.896937537357825,4.89141192374619e-84
"262","nTau1.20.0","nTau1","10","20","1",2.28568077134008,7.21110399608847e-07
"263","nTau2.20.0","nTau2","11","20","1",10.2934497569867,0.00135554813020855
"264","nCon.20.0","nCon","12","20","1",1.33864330271057,1.19317997458487e-08
"265","Fm.20.0","Fm","13","20","1",2598.55291930889,1.77396912695897e-96
"266","Fo.20.0","Fo","14","20","1",2494.9216024126,9.78282384749061e-84
"267","Quant.21.0","Quant","1","21","1",0.0368526175192564,1.10524037149996e-79
"268","Sigma.21.0","Sigma","2","21","1",3.85358396949695,5.60066452270667e-23
"269","Connect.21.0","Connect","3","21","1",0.144257680597614,0.119871192353108
"270","Tau1.21.0","Tau1","4","21","1",1241.27154357044,3.27902681869909e-10
"271","Tau2.21.0","Tau2","5","21","1",8374213.2789527,9.85631848894864e-06
"272","NPQ.21.0","NPQ","6","21","1",0.347722756500906,7.28368022859177e-99
"273","qP.21.0","qP","7","21","1",0.614617312851678,2.21048074299993e-79
"274","ABQ.21.0","ABQ","8","21","1",0.102114807078526,5.60066452270667e-23
"275","qm.21.0","qm","9","21","1",0.904762189174296,1.10524037149996e-79
"276","nTau1.21.0","nTau1","10","21","1",1.53753727022562,3.27902681869909e-10
"277","nTau2.21.0","nTau2","11","21","1",9.66630699013912,9.85631848894864e-06
"278","nCon.21.0","nCon","12","21","1",0.4298261627858,0.119871192353108
"279","Fm.21.0","Fm","13","21","1",2538.5181120882,7.28368022859177e-99
"280","Fo.21.0","Fo","14","21","1",2444.96707503771,2.21048074299993e-79
"281","Quant.22.0","Quant","1","22","1",0.0406170119454991,5.40032076939056e-80
"282","Sigma.22.0","Sigma","2","22","1",3.50154048244323,4.13024986420624e-25
"283","Connect.22.0","Connect","3","22","1",0.25068431517758,0.00142558716759055
"284","Tau1.22.0","Tau1","4","22","1",1367.26184810478,3.34629062384035e-10
"285","Tau2.22.0","Tau2","5","22","1",11613996.4173992,0.000521453414663505
"286","NPQ.22.0","NPQ","6","22","1",0.373976966361374,1.78113740694225e-97
"287","qP.22.0","qP","7","22","1",0.649931247846654,1.08006415387811e-79
"288","ABQ.22.0","ABQ","8","22","1",0.18414095125808,4.13024986420624e-25
"289","qm.22.0","qm","9","22","1",0.895033906398927,5.40032076939056e-80
"290","nTau1.22.0","nTau1","10","22","1",1.69359884266078,3.34629062384035e-10
"291","nTau2.22.0","nTau2","11","22","1",13.4059703297879,0.000521453414663505
"292","nCon.22.0","nCon","12","22","1",0.746931995696783,0.00142558716759055
"293","Fm.22.0","Fm","13","22","1",2490.01163135304,1.78113740694225e-97
"294","Fo.22.0","Fo","14","22","1",2388.87479917794,1.08006415387811e-79
"295","Quant.23.0","Quant","1","23","1",0.194084992820761,4.14041061944781e-71
"296","Sigma.23.0","Sigma","2","23","1",5.08830281320304,7.68010705218192e-46
"297","Connect.23.0","Connect","3","23","1",0.23755595735926,8.37809403625844e-12
"298","Tau1.23.0","Tau1","4","23","1",1685.63978372957,1.22630574541404e-17
