"","uni","metric","metrix","stage","col","barefoot2025.bpv19.002","pval"
"3383","L12CompL2.qqP.3","qqP","99","99","3",-0.532228592759874,NA
"3384","L12CompL22.qqP.3","qqP","99","99","3",-0.555670367836953,NA
"3385","L12CompL3.qqP.3","qqP","99","99","3",0.206471809282384,NA
"3386","L12CompL32.qqP.3","qqP","99","99","3",-0.0873037321076592,NA
"3387","L12CompR1.qqP.3","qqP","99","99","3",-0.869212649938742,NA
"3388","L12CompR12.qqP.3","qqP","99","99","3",-0.841475750827126,NA
"3389","L2CompL3.qqP.3","qqP","99","99","3",0.482108482724303,NA
"3390","L2CompL32.qqP.3","qqP","99","99","3",0.290377599500874,NA
"3391","L2CompR1.qqP.3","qqP","99","99","3",-0.21993066750692,NA
"3392","L2CompR12.qqP.3","qqP","99","99","3",-0.201828343060895,NA
"3393","L22CompL3.qqP.3","qqP","99","99","3",0.489912383032043,NA
"3394","L22CompL32.qqP.3","qqP","99","99","3",0.301070615866087,NA
"3395","L22CompR1.qqP.3","qqP","99","99","3",-0.201548019801744,NA
"3396","L22CompR12.qqP.3","qqP","99","99","3",-0.183718472048526,NA
"3397","L3CompR1.qqP.3","qqP","99","99","3",-1.35557182694208,NA
"3398","L3CompR12.qqP.3","qqP","99","99","3",-1.32061793439476,NA
"3399","L32CompR1.qqP.3","qqP","99","99","3",-0.719126491284463,NA
"3400","L32CompR12.qqP.3","qqP","99","99","3",-0.693616692786991,NA
"3401","DCompL1.qABQ.3","qABQ","99","99","3",0,NA
"3402","DCompL12.qABQ.3","qABQ","99","99","3",0,NA
"3403","DCompL2.qABQ.3","qABQ","99","99","3",0,NA
"3404","DCompL22.qABQ.3","qABQ","99","99","3",0,NA
"3405","DCompL3.qABQ.3","qABQ","99","99","3",0,NA
"3406","DCompL32.qABQ.3","qABQ","99","99","3",0,NA
"3407","DCompR1.qABQ.3","qABQ","99","99","3",0,NA
"3408","DCompR12.qABQ.3","qABQ","99","99","3",0,NA
"3409","L1CompL2.qABQ.3","qABQ","99","99","3",0.387568448884071,NA
"3410","L1CompL22.qABQ.3","qABQ","99","99","3",0.422309226770119,NA
"3411","L1CompL3.qABQ.3","qABQ","99","99","3",0.416920219218147,NA
"3412","L1CompL32.qABQ.3","qABQ","99","99","3",0.0333948282575939,NA
"3413","L1CompR1.qABQ.3","qABQ","99","99","3",0.745129387473553,NA
"3414","L1CompR12.qABQ.3","qABQ","99","99","3",0.85914881425816,NA
"3415","L12CompL2.qABQ.3","qABQ","99","99","3",0.264754025978968,NA
"3416","L12CompL22.qABQ.3","qABQ","99","99","3",0.306461571954567,NA
"3417","L12CompL3.qABQ.3","qABQ","99","99","3",0.299991875709597,NA
"3418","L12CompL32.qABQ.3","qABQ","99","99","3",-0.160444068723337,NA
"3419","L12CompR1.qABQ.3","qABQ","99","99","3",0.694018717006183,NA
"3420","L12CompR12.qABQ.3","qABQ","99","99","3",0.830903115517029,NA
"3421","L2CompL3.qABQ.3","qABQ","99","99","3",0.0479266136445673,NA
"3422","L2CompL32.qABQ.3","qABQ","99","99","3",-0.578307273655525,NA
"3423","L2CompR1.qABQ.3","qABQ","99","99","3",0.583838206797085,NA
"3424","L2CompR12.qABQ.3","qABQ","99","99","3",0.770013178639815,NA
"3425","L22CompL3.qABQ.3","qABQ","99","99","3",-0.00932853319058766,NA
"3426","L22CompL32.qABQ.3","qABQ","99","99","3",-0.673222451413056,NA
"3427","L22CompR1.qABQ.3","qABQ","99","99","3",0.558811349709706,NA
"3428","L22CompR12.qABQ.3","qABQ","99","99","3",0.756182386375434,NA
"3429","L3CompR1.qABQ.3","qABQ","99","99","3",0.562888954604649,NA
"3430","L3CompR12.qABQ.3","qABQ","99","99","3",0.758435825792188,NA
"3431","L32CompR1.qABQ.3","qABQ","99","99","3",0.736323971796037,NA
"3432","L32CompR12.qABQ.3","qABQ","99","99","3",0.854282606942873,NA
"3433","DCompL1.qqm.3","qqm","99","99","3",0,NA
"3434","DCompL12.qqm.3","qqm","99","99","3",0,NA
"3435","DCompL2.qqm.3","qqm","99","99","3",0,NA
"3436","DCompL22.qqm.3","qqm","99","99","3",0,NA
"3437","DCompL3.qqm.3","qqm","99","99","3",0,NA
"3438","DCompL32.qqm.3","qqm","99","99","3",0,NA
"3439","DCompR1.qqm.3","qqm","99","99","3",0,NA
"3440","DCompR12.qqm.3","qqm","99","99","3",0,NA
"3441","L1CompL2.qqm.3","qqm","99","99","3",0.582449032275847,NA
"3442","L1CompL22.qqm.3","qqm","99","99","3",0.650101978568431,NA
"3443","L1CompL3.qqm.3","qqm","99","99","3",0.0845026268071859,NA
"3444","L1CompL32.qqm.3","qqm","99","99","3",0.0971726691671616,NA
"3445","L1CompR1.qqm.3","qqm","99","99","3",0.892199819758682,NA
"3446","L1CompR12.qqm.3","qqm","99","99","3",0.977156081555871,NA
"3447","L12CompL2.qqm.3","qqm","99","99","3",0.476511650684453,NA
"3448","L12CompL22.qqm.3","qqm","99","99","3",0.561328911135481,NA
"3449","L12CompL3.qqm.3","qqm","99","99","3",-0.147769364079246,NA
"3450","L12CompL32.qqm.3","qqm","99","99","3",-0.131884789324378,NA
"3451","L12CompR1.qqm.3","qqm","99","99","3",0.864849700341908,NA
"3452","L12CompR12.qqm.3","qqm","99","99","3",0.971360322253843,NA
"3453","L2CompL3.qqm.3","qqm","99","99","3",-1.19254041771882,NA
"3454","L2CompL32.qqm.3","qqm","99","99","3",-1.16219671517867,NA
"3455","L2CompR1.qqm.3","qqm","99","99","3",0.741827492751655,NA
"3456","L2CompR12.qqm.3","qqm","99","99","3",0.945290706500721,NA
"3457","L22CompL3.qqm.3","qqm","99","99","3",-1.61646913419847,NA
"3458","L22CompL32.qqm.3","qqm","99","99","3",-1.58025846256295,NA
"3459","L22CompR1.qqm.3","qqm","99","99","3",0.691909717579239,NA
"3460","L22CompR12.qqm.3","qqm","99","99","3",0.934712638983595,NA
"3461","L3CompR1.qqm.3","qqm","99","99","3",0.882249601803485,NA
"3462","L3CompR12.qqm.3","qqm","99","99","3",0.975047532507428,NA
"3463","L32CompR1.qqm.3","qqm","99","99","3",0.880597123547562,NA
"3464","L32CompR12.qqm.3","qqm","99","99","3",0.974697356112319,NA
"3465","DCompL1.qQuant.4","qQuant","99","99","4",0.852413516401969,NA
"3466","DCompL12.qQuant.4","qQuant","99","99","4",0.686517360095369,NA
"3467","DCompL2.qQuant.4","qQuant","99","99","4",0.36933424989295,NA
"3468","DCompL22.qQuant.4","qQuant","99","99","4",0.312017294453886,NA
"3469","DCompL3.qQuant.4","qQuant","99","99","4",0.77736421825009,NA
"3470","DCompL32.qQuant.4","qQuant","99","99","4",0.789693374452887,NA
"3471","DCompR1.qQuant.4","qQuant","99","99","4",0.103948009590334,NA
"3472","DCompR12.qQuant.4","qQuant","99","99","4",0.0361683587546161,NA
"3473","L1CompL2.qQuant.4","qQuant","99","99","4",-3.27319450082395,NA
"3474","L1CompL22.qQuant.4","qQuant","99","99","4",-3.66155632124087,NA
"3475","L1CompL3.qQuant.4","qQuant","99","99","4",-0.508510646247826,NA
"3476","L1CompL32.qQuant.4","qQuant","99","99","4",-0.424972127663856,NA
"3477","L1CompR1.qQuant.4","qQuant","99","99","4",-5.07136892596593,NA
