"","uni","metric","metrix","stage","col","ASnormalized.t7_aglo4.002r","pval"
"272","NPQ.21.0","NPQ","6","21","1",0.173501150795258,1.70529474846276e-100
"273","qP.21.0","qP","7","21","1",0.46671208044023,1.79822518166923e-79
"274","ABQ.21.0","ABQ","8","21","1",0.133453598138526,4.02377317508856e-23
"275","qm.21.0","qm","9","21","1",0.909502444465221,8.99112590834613e-80
"276","nTau1.21.0","nTau1","10","21","1",1.96458117641638,2.91661380917309e-09
"277","nTau2.21.0","nTau2","11","21","1",12.1623028934794,0.00047444939024343
"278","nCon.21.0","nCon","12","21","1",0.424903648761186,0.13696375328866
"279","Fm.21.0","Fm","13","21","1",3059.70492868175,1.70529474846276e-100
"280","Fo.21.0","Fo","14","21","1",2953.85072079816,1.79822518166923e-79
"281","Quant.22.0","Quant","1","22","1",0.0381899457327135,8.18895716003652e-81
"282","Sigma.22.0","Sigma","2","22","1",3.86738589880473,6.05192618006586e-26
"283","Connect.22.0","Connect","3","22","1",0.270897233904761,0.000187305787974025
"284","Tau1.22.0","Tau1","4","22","1",1849.80180458191,3.01457670271419e-10
"285","Tau2.22.0","Tau2","5","22","1",12450208.042433,0.000768392850378093
"286","NPQ.22.0","NPQ","6","22","1",0.191240504470857,2.0250902661424e-100
"287","qP.22.0","qP","7","22","1",0.506894508288917,1.6377914320073e-80
"288","ABQ.22.0","ABQ","8","22","1",0.178809975813908,6.05192618006586e-26
"289","qm.22.0","qm","9","22","1",0.90010188139949,8.18895716003652e-81
"290","nTau1.22.0","nTau1","10","22","1",2.26799071154384,3.01457670271419e-10
"291","nTau2.22.0","nTau2","11","22","1",14.103418686993,0.000768392850378093
"292","nCon.22.0","nCon","12","22","1",0.860523703119854,0.000187305787974025
"293","Fm.22.0","Fm","13","22","1",3014.14134377245,2.0250902661424e-100
"294","Fo.22.0","Fo","14","22","1",2899.03144942305,1.6377914320073e-80
"295","Quant.23.0","Quant","1","23","1",0.202639953070084,1.03237001710475e-69
"296","Sigma.23.0","Sigma","2","23","1",5.46874369991377,1.58378600489449e-45
"297","Connect.23.0","Connect","3","23","1",0.198961539283257,6.27897655621745e-09
"298","Tau1.23.0","Tau1","4","23","1",2206.07137795131,1.67095343302836e-19
"299","Tau2.23.0","Tau2","5","23","1",1638632.320012,1.87147857157736e-13
"300","NPQ.23.0","NPQ","6","23","1",0.285974621880218,2.1831003963265e-94
"301","qP.23.0","qP","7","23","1",1,2.0647400342095e-69
"302","ABQ.23.0","ABQ","8","23","1",-0.161217910161926,1.58378600489449e-45
"303","qm.23.0","qm","9","23","1",0.469929855185511,1.03237001710475e-69
"304","nTau1.23.0","nTau1","10","23","1",2.70480295878354,1.67095343302836e-19
"305","nTau2.23.0","nTau2","11","23","1",1.85621939845527,1.87147857157736e-13
"306","nCon.23.0","nCon","12","23","1",0.632015019476524,6.27897655621745e-09
"307","Fm.23.0","Fm","13","23","1",2792.09806617506,2.1831003963265e-94
"308","Fo.23.0","Fo","14","23","1",2226.30744507827,2.0647400342095e-69
"309","Quant.24.0","Quant","1","24","1",0.208466463063332,6.40236017191212e-66
"310","Sigma.24.0","Sigma","2","24","1",5.86679744260991,3.94878653133092e-43
"311","Connect.24.0","Connect","3","24","1",0.259418819001192,7.65692904144393e-11
"312","Tau1.24.0","Tau1","4","24","1",2022.80615811359,8.22002824992527e-19
"313","Tau2.24.0","Tau2","5","24","1",1538751.29970795,7.46642135793627e-13
"314","NPQ.24.0","NPQ","6","24","1",0.242716873392758,1.06867348973789e-91
"315","qP.24.0","qP","7","24","1",0.95553552281325,1.28047203438242e-65
"316","ABQ.24.0","ABQ","8","24","1",-0.245739540830597,3.94878653133092e-43
"317","qm.24.0","qm","9","24","1",0.454688739358683,6.40236017191212e-66
"318","nTau1.24.0","nTau1","10","24","1",2.480106553303,8.22002824992527e-19
"319","nTau2.24.0","nTau2","11","24","1",1.74307559849377,7.46642135793627e-13
"320","nCon.24.0","nCon","12","24","1",0.824061728383567,7.65692904144393e-11
"321","Fm.24.0","Fm","13","24","1",2889.28824559958,1.06867348973789e-91
"322","Fo.24.0","Fo","14","24","1",2286.96854426898,1.28047203438242e-65
"323","Quant.25.0","Quant","1","25","1",0.217134728096609,1.17943141769738e-64
"324","Sigma.25.0","Sigma","2","25","1",5.9747602680004,2.21622926175099e-42
"325","Connect.25.0","Connect","3","25","1",0.209387343425736,6.51704005119027e-08
"326","Tau1.25.0","Tau1","4","25","1",1916.72112793469,4.38117045668219e-18
"327","Tau2.25.0","Tau2","5","25","1",1381365.91797273,1.92897750865271e-13
"328","NPQ.25.0","NPQ","6","25","1",0.220781784224041,3.04641463967244e-91
"329","qP.25.0","qP","7","25","1",0.944102747447131,2.35886283539477e-64
"330","ABQ.25.0","ABQ","8","25","1",-0.268664068538323,2.21622926175099e-42
"331","qm.25.0","qm","9","25","1",0.432014096812303,1.17943141769738e-64
"332","nTau1.25.0","nTau1","10","25","1",2.3500386387385,4.38117045668219e-18
"333","nTau2.25.0","nTau2","11","25","1",1.56479167534494,1.92897750865271e-13
"334","nCon.25.0","nCon","12","25","1",0.665133303703237,6.51704005119027e-08
"335","Fm.25.0","Fm","13","25","1",2941.20317103536,3.04641463967244e-91
"336","Fo.25.0","Fo","14","25","1",2302.56582021572,2.35886283539477e-64
"337","Quant.26.0","Quant","1","26","1",0.220091259286503,1.90256859515699e-64
"338","Sigma.26.0","Sigma","2","26","1",5.98983209327111,4.48678932311734e-43
"339","Connect.26.0","Connect","3","26","1",0.235813398604275,3.18490997800711e-09
"340","Tau1.26.0","Tau1","4","26","1",2116.72879002762,2.73363971285592e-19
