"","uni","metric","metrix","stage","col","cclong2025.nah11.002","pval"
"1559","range.2.rABQ.All","rABQ","8","All","2",0.273859318033762,NA
"1560","slope.2.rABQ.All","rABQ","8","All","2",0.000673679605926263,NA
"1561","mean.2.rqm.All","rqm","9","All","2",0.48107974133945,NA
"1562","min.2.rqm.All","rqm","9","All","2",0,NA
"1563","max.2.rqm.All","rqm","9","All","2",0.823648124805835,NA
"1564","range.2.rqm.All","rqm","9","All","2",0.823648124805835,NA
"1565","slope.2.rqm.All","rqm","9","All","2",-0.0152607643090465,NA
"1566","mean.3.rQuant.All","rQuant","1","All","3",0.170941192647319,NA
"1567","min.3.rQuant.All","rQuant","1","All","3",0.0574435342858815,NA
"1568","max.3.rQuant.All","rQuant","1","All","3",0.333533036672877,NA
"1569","range.3.rQuant.All","rQuant","1","All","3",0.276089502386995,NA
"1570","slope.3.rQuant.All","rQuant","1","All","3",0.00502666484665411,NA
"1571","mean.3.rSigma.All","rSigma","2","All","3",3.34663510265352,NA
"1572","min.3.rSigma.All","rSigma","2","All","3",3.02495873143327,NA
"1573","max.3.rSigma.All","rSigma","2","All","3",4.15617088376134,NA
"1574","range.3.rSigma.All","rSigma","2","All","3",1.13121215232807,NA
"1575","slope.3.rSigma.All","rSigma","2","All","3",-0.00828514439504049,NA
"1576","mean.3.rConnect.All","rConnect","3","All","3",0.237048912681266,NA
"1577","min.3.rConnect.All","rConnect","3","All","3",0.16611849471145,NA
"1578","max.3.rConnect.All","rConnect","3","All","3",0.291317380954613,NA
"1579","range.3.rConnect.All","rConnect","3","All","3",0.125198886243163,NA
"1580","slope.3.rConnect.All","rConnect","3","All","3",0.00098085175673184,NA
"1581","mean.3.rTau1.All","rTau1","4","All","3",1039.84268256033,NA
"1582","min.3.rTau1.All","rTau1","4","All","3",629.502673154097,NA
"1583","max.3.rTau1.All","rTau1","4","All","3",1903.44276085505,NA
"1584","range.3.rTau1.All","rTau1","4","All","3",1273.94008770095,NA
"1585","slope.3.rTau1.All","rTau1","4","All","3",-12.2968610146221,NA
"1586","mean.3.rTau2.All","rTau2","5","All","3",2287067.23123004,NA
"1587","min.3.rTau2.All","rTau2","5","All","3",953117.392873518,NA
"1588","max.3.rTau2.All","rTau2","5","All","3",4524507.61352184,NA
"1589","range.3.rTau2.All","rTau2","5","All","3",3571390.22064832,NA
"1590","slope.3.rTau2.All","rTau2","5","All","3",-47853.620964982,NA
"1591","mean.3.rNPQ.All","rNPQ","6","All","3",0.743943766158697,NA
"1592","min.3.rNPQ.All","rNPQ","6","All","3",0.0671864101917222,NA
"1593","max.3.rNPQ.All","rNPQ","6","All","3",1.41015748599211,NA
"1594","range.3.rNPQ.All","rNPQ","6","All","3",1.34297107580039,NA
"1595","slope.3.rNPQ.All","rNPQ","6","All","3",0.0404260228095335,NA
"1596","mean.3.rqP.All","rqP","7","All","3",0.704310183990165,NA
"1597","min.3.rqP.All","rqP","7","All","3",0.168522769379374,NA
"1598","max.3.rqP.All","rqP","7","All","3",1,NA
"1599","range.3.rqP.All","rqP","7","All","3",0.831477230620626,NA
"1600","slope.3.rqP.All","rqP","7","All","3",0.0229638332514143,NA
"1601","mean.3.rABQ.All","rABQ","8","All","3",0.194779233998962,NA
"1602","min.3.rABQ.All","rABQ","8","All","3",0,NA
"1603","max.3.rABQ.All","rABQ","8","All","3",0.272176525933488,NA
"1604","range.3.rABQ.All","rABQ","8","All","3",0.272176525933488,NA
"1605","slope.3.rABQ.All","rABQ","8","All","3",0.00199345614671706,NA
"1606","mean.3.rqm.All","rqm","9","All","3",0.48748347584238,NA
"1607","min.3.rqm.All","rqm","9","All","3",0,NA
"1608","max.3.rqm.All","rqm","9","All","3",0.827772580314971,NA
"1609","range.3.rqm.All","rqm","9","All","3",0.827772580314971,NA
"1610","slope.3.rqm.All","rqm","9","All","3",-0.0150709653736166,NA
"1611","mean.4.rQuant.All","rQuant","1","All","4",0.165384526744529,NA
"1612","min.4.rQuant.All","rQuant","1","All","4",0.0659615106432798,NA
"1613","max.4.rQuant.All","rQuant","1","All","4",0.321651255775131,NA
"1614","range.4.rQuant.All","rQuant","1","All","4",0.255689745131851,NA
"1615","slope.4.rQuant.All","rQuant","1","All","4",0.00415029616404599,NA
"1616","mean.4.rSigma.All","rSigma","2","All","4",3.2291928403802,NA
"1617","min.4.rSigma.All","rSigma","2","All","4",2.93728777438046,NA
"1618","max.4.rSigma.All","rSigma","2","All","4",3.55393980646321,NA
"1619","range.4.rSigma.All","rSigma","2","All","4",0.61665203208275,NA
"1620","slope.4.rSigma.All","rSigma","2","All","4",-0.0121951739804349,NA
"1621","mean.4.rConnect.All","rConnect","3","All","4",0.301330702536693,NA
"1622","min.4.rConnect.All","rConnect","3","All","4",0.149247477925452,NA
"1623","max.4.rConnect.All","rConnect","3","All","4",0.390334718353775,NA
"1624","range.4.rConnect.All","rConnect","3","All","4",0.241087240428323,NA
"1625","slope.4.rConnect.All","rConnect","3","All","4",0.00327333584344362,NA
"1626","mean.4.rTau1.All","rTau1","4","All","4",921.634240194979,NA
"1627","min.4.rTau1.All","rTau1","4","All","4",550.848109410783,NA
"1628","max.4.rTau1.All","rTau1","4","All","4",1476.2934274228,NA
"1629","range.4.rTau1.All","rTau1","4","All","4",925.445318012017,NA
"1630","slope.4.rTau1.All","rTau1","4","All","4",-6.60743290838194,NA
"1631","mean.4.rTau2.All","rTau2","5","All","4",2618583.12015073,NA
"1632","min.4.rTau2.All","rTau2","5","All","4",1149900.23403697,NA
"1633","max.4.rTau2.All","rTau2","5","All","4",4763327.94557192,NA
"1634","range.4.rTau2.All","rTau2","5","All","4",3613427.71153495,NA
"1635","slope.4.rTau2.All","rTau2","5","All","4",-37287.9539270746,NA
"1636","mean.4.rNPQ.All","rNPQ","6","All","4",0.762462353442548,NA
"1637","min.4.rNPQ.All","rNPQ","6","All","4",0.0839413685609323,NA
"1638","max.4.rNPQ.All","rNPQ","6","All","4",1.41896619468072,NA
"1639","range.4.rNPQ.All","rNPQ","6","All","4",1.33502482611979,NA
"1640","slope.4.rNPQ.All","rNPQ","6","All","4",0.0403080546259902,NA
"1641","mean.4.rqP.All","rqP","7","All","4",0.718853665209146,NA
"1642","min.4.rqP.All","rqP","7","All","4",0.200101423771121,NA
"1643","max.4.rqP.All","rqP","7","All","4",1,NA
"1644","range.4.rqP.All","rqP","7","All","4",0.799898576228879,NA
