"","uni","metric","metrix","stage","col","ASnormalized.aabr3.005r","pval"
"210","Fo.16.0","Fo","14","16","1",2984.54142814822,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000017796368991227
"211","Quant.17.0","Quant","1","17","1",0.037863704084118,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000517944146758379
"212","Sigma.17.0","Sigma","2","17","1",3.55480051110448,0.00000000000000000000000000000094755237933577
"213","Connect.17.0","Connect","3","17","1",0.272238496279964,0.00000668700421105566
"214","Tau1.17.0","Tau1","4","17","1",1801.48575114639,0.00000000270388994174656
"215","Tau2.17.0","Tau2","5","17","1",14848234.2990645,0.00419005134716694
"216","NPQ.17.0","NPQ","6","17","1",0.102802242531335,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000326653877076762
"217","qP.17.0","qP","7","17","1",0.30656820073228,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000103588829351676
"218","ABQ.17.0","ABQ","8","17","1",0.193971909891788,0.00000000000000000000000000000094755237933577
"219","qm.17.0","qm","9","17","1",0.89910650801756,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000517944146758379
"220","nTau1.17.0","nTau1","10","17","1",2.57579454462594,0.00000000270388994174656
"221","nTau2.17.0","nTau2","11","17","1",13.8452636772801,0.00419005134716694
"222","nCon.17.0","nCon","12","17","1",0.813190504030709,0.00000668700421105566
"223","Fm.17.0","Fm","13","17","1",3036.53681385036,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000326653877076762
"224","Fo.17.0","Fo","14","17","1",2921.5622824902,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000103588829351676
"225","Quant.18.0","Quant","1","18","1",0.0328038488547058,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000049068252355615
"226","Sigma.18.0","Sigma","2","18","1",2.94074545244768,0.000000000000000000000000240339121604125
"227","Connect.18.0","Connect","3","18","1",0.499129477320838,0.0000000000154044419683034
"228","Tau1.18.0","Tau1","4","18","1",1532.91358809258,0.000000581659923507614
"229","Tau2.18.0","Tau2","5","18","1",10911320.8828541,0.00275448984787126
"230","NPQ.18.0","NPQ","6","18","1",0.134608856701958,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000643698268368901
"231","qP.18.0","qP","7","18","1",0.354632079070362,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000981365047112299
"232","ABQ.18.0","ABQ","8","18","1",0.333204934249785,0.000000000000000000000000240339121604125
"233","qm.18.0","qm","9","18","1",0.912589247632439,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000049068252355615
"234","nTau1.18.0","nTau1","10","18","1",2.19178556093448,0.000000581659923507614
"235","nTau2.18.0","nTau2","11","18","1",10.1742814430162,0.00275448984787126
"236","nCon.18.0","nCon","12","18","1",1.49092562876086,0.0000000000154044419683034
"237","Fm.18.0","Fm","13","18","1",2951.41324524561,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000643698268368901
"238","Fo.18.0","Fo","14","18","1",2854.5955312408,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000981365047112299
"239","Quant.19.0","Quant","1","19","1",0.0348252602544487,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000353163275518625
"240","Sigma.19.0","Sigma","2","19","1",3.35291055128476,0.0000000000000000000000597592561954565
"241","Connect.19.0","Connect","3","19","1",0.292968731206061,0.0010611192837425
"242","Tau1.19.0","Tau1","4","19","1",1497.30110908243,0.00000000188236568480947
"243","Tau2.19.0","Tau2","5","19","1",15167018.9009501,0.00186227187705482
"244","NPQ.19.0","NPQ","6","19","1",0.154019238873474,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000183895287395585
"245","qP.19.0","qP","7","19","1",0.393302821550445,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000706326551037249
"246","ABQ.19.0","ABQ","8","19","1",0.239749156242794,0.0000000000000000000000597592561954565
"247","qm.19.0","qm","9","19","1",0.907202895193173,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000353163275518625
"248","nTau1.19.0","nTau1","10","19","1",2.14086624109163,0.00000000188236568480947
"249","nTau2.19.0","nTau2","11","19","1",14.1425149719772,0.00186227187705482
"250","nCon.19.0","nCon","12","19","1",0.875112790623461,0.0010611192837425
"251","Fm.19.0","Fm","13","19","1",2901.77104076017,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000183895287395585
"252","Fo.19.0","Fo","14","19","1",2800.71610906687,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000706326551037249
"253","Quant.20.0","Quant","1","20","1",0.0398528150980575,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000141489399956952
"254","Sigma.20.0","Sigma","2","20","1",3.22735669043822,0.000000000000000000000000000000132621823408015
"255","Connect.20.0","Connect","3","20","1",0.431827460775842,0.0000000000219875327981177
"256","Tau1.20.0","Tau1","4","20","1",1893.54914950264,0.000000446316097952555
"257","Tau2.20.0","Tau2","5","20","1",10019701.751726,0.000431740622813611
"258","NPQ.20.0","NPQ","6","20","1",0.18129728038504,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000113127885247796
"259","qP.20.0","qP","7","20","1",0.449949423271701,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000282978799913893
"260","ABQ.20.0","ABQ","8","20","1",0.268217684461951,0.000000000000000000000000000000132621823408015
"261","qm.20.0","qm","9","20","1",0.893806224778201,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000141489399956952
