Project,Country,Date,Site_number,SITE,Latitude,Longitude,Species,Genotype,Condition,Tank_color,Temperature,Pam_value,Timepoint,SampleID_clean,MINIMUM_DEPTH_FEET,MAXIMUM_DEPTH_FEET,MINIMUM_DEPTH_METERS,MAXIMUM_DEPTH_METERS,Bag_number
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,2,wild,6-brown,38,0.558,420,1_ICRA_2,30,41,9.144,12.4968,26
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,2,wild,7-grey,36,0.579,420,1_ICRA_2,30,41,9.144,12.4968,26
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,3,wild,1-green,39,0.146,420,1_ICRA_3,30,41,9.144,12.4968,12
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,3,wild,2-blue,34,0.628,420,1_ICRA_3,30,41,9.144,12.4968,12
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,3,wild,3-red,37,0.509,420,1_ICRA_3,30,41,9.144,12.4968,12
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,3,wild,4-yellow,29,0.589,420,1_ICRA_3,30,41,9.144,12.4968,12
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,3,wild,5-orange,35,0.624,420,1_ICRA_3,30,41,9.144,12.4968,12
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,3,wild,6-brown,38,0.546,420,1_ICRA_3,30,41,9.144,12.4968,12
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,3,wild,7-grey,36,0.635,420,1_ICRA_3,30,41,9.144,12.4968,12
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,4,wild,1-green,39,0.033,420,1_ICRA_4,30,41,9.144,12.4968,29
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,4,wild,2-blue,34,0.607,420,1_ICRA_4,30,41,9.144,12.4968,29
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,ICRA,4,wild,3-red,37,0.381,420,1_ICRA_4,30,41,9.144,12.4968,29
