"","uni","metric","metrix","stage","col","ASnormalized.ahya1.002r","pval"
"146","NPQ.12.0","NPQ","6","12","1",0.339953399314006,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000123782801646161
"147","qP.12.0","qP","7","12","1",0.665652457801204,0.000000000000000000000000000000000000000000000000000000000000000000000127550824288221
"148","ABQ.12.0","ABQ","8","12","1",-0.0976917735301186,0.0000000000000000000000000000000426183845113287
"149","qm.12.0","qm","9","12","1",0.763749857144702,0.0000000000000000000000000000000000000000000000000000000000000000000000637754121441107
"150","nTau1.12.0","nTau1","10","12","1",1.95630934570686,0.000000000000000268442813350565
"151","nTau2.12.0","nTau2","11","12","1",8.59732196424854,0.000000437484115706415
"152","nCon.12.0","nCon","12","12","1",0.917072653896841,0.00000269877675963713
"153","Fm.12.0","Fm","13","12","1",2083.59572646327,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000123782801646161
"154","Fo.12.0","Fo","14","12","1",1890.08933597637,0.000000000000000000000000000000000000000000000000000000000000000000000127550824288221
"155","Quant.13.0","Quant","1","13","1",0.0995138159687726,0.0000000000000000000000000000000000000000000000000000000000000000000190201845850156
"156","Sigma.13.0","Sigma","2","13","1",5.5142870215864,0.00000000000000000000000000000204911626703595
"157","Connect.13.0","Connect","3","13","1",0.26564895252237,0.0000180378252839071
"158","Tau1.13.0","Tau1","4","13","1",2433.87636900323,0.00000000000000000000116698628134014
"159","Tau2.13.0","Tau2","5","13","1",5669874.99945028,0.0000000050070719379173
"160","NPQ.13.0","NPQ","6","13","1",0.341864752032745,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000913484122133009
"161","qP.13.0","qP","7","13","1",0.677840672616834,0.0000000000000000000000000000000000000000000000000000000000000000000380403691700313
"162","ABQ.13.0","ABQ","8","13","1",-0.141024371065289,0.00000000000000000000000000000204911626703595
"163","qm.13.0","qm","9","13","1",0.746852521545192,0.0000000000000000000000000000000000000000000000000000000000000000000190201845850156
"164","nTau1.13.0","nTau1","10","13","1",2.05557602263362,0.00000000000000000000116698628134014
"165","nTau2.13.0","nTau2","11","13","1",10.4424230443097,0.0000000050070719379173
"166","nCon.13.0","nCon","12","13","1",0.896823802613052,0.0000180378252839071
"167","Fm.13.0","Fm","13","13","1",2080.62785183172,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000913484122133009
"168","Fo.13.0","Fo","14","13","1",1873.57663468503,0.0000000000000000000000000000000000000000000000000000000000000000000380403691700313
"169","Quant.14.0","Quant","1","14","1",0.103752297691446,0.00000000000000000000000000000000000000000000000000000000000000000000142581461060817
"170","Sigma.14.0","Sigma","2","14","1",5.27489685069003,0.0000000000000000000000000000000331711237878799
"171","Connect.14.0","Connect","3","14","1",0.267867450309318,0.00000359868641889856
"172","Tau1.14.0","Tau1","4","14","1",2321.84394352838,0.000000000000000170827645019343
"173","Tau2.14.0","Tau2","5","14","1",3642554.41425722,0.0000000684798440626729
"174","NPQ.14.0","NPQ","6","14","1",0.333669151362233,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000317471900715059
"175","qP.14.0","qP","7","14","1",0.675891674988883,0.00000000000000000000000000000000000000000000000000000000000000000000285162922121634
"176","ABQ.14.0","ABQ","8","14","1",-0.0914894052361697,0.0000000000000000000000000000000331711237878799
"177","qm.14.0","qm","9","14","1",0.736070491430818,0.00000000000000000000000000000000000000000000000000000000000000000000142581461060817
"178","nTau1.14.0","nTau1","10","14","1",1.96095693248735,0.000000000000000170827645019343
"179","nTau2.14.0","nTau2","11","14","1",6.70863011252975,0.0000000684798440626729
"180","nCon.14.0","nCon","12","14","1",0.904313392172837,0.00000359868641889856
"181","Fm.14.0","Fm","13","14","1",2093.41362782432,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000317471900715059
"182","Fo.14.0","Fo","14","14","1",1876.21715391896,0.00000000000000000000000000000000000000000000000000000000000000000000285162922121634
"183","Quant.15.0","Quant","1","15","1",0.107820288143346,0.000000000000000000000000000000000000000000000000000000000000000000000000000618295354436416
"184","Sigma.15.0","Sigma","2","15","1",5.56960686545929,0.00000000000000000000000000000000000000449940561427517
"185","Connect.15.0","Connect","3","15","1",0.200799878509282,0.00000204769835917004
"186","Tau1.15.0","Tau1","4","15","1",2193.96444147962,0.00000000000000000667432466349634
"187","Tau2.15.0","Tau2","5","15","1",3577305.53707385,0.0000000113793806532878
"188","NPQ.15.0","NPQ","6","15","1",0.340588034491,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000414249960193985
"189","qP.15.0","qP","7","15","1",0.689292342721768,0.00000000000000000000000000000000000000000000000000000000000000000000000000123659070887283
"190","ABQ.15.0","ABQ","8","15","1",-0.152471234425029,0.00000000000000000000000000000000000000449940561427517
"191","qm.15.0","qm","9","15","1",0.725722164263865,0.000000000000000000000000000000000000000000000000000000000000000000000000000618295354436416
"192","nTau1.15.0","nTau1","10","15","1",1.85295389603673,0.00000000000000000667432466349634
"193","nTau2.15.0","nTau2","11","15","1",6.58845878974379,0.0000000113793806532878
"194","nCon.15.0","nCon","12","15","1",0.677895052470678,0.00000204769835917004
"195","Fm.15.0","Fm","13","15","1",2082.60935100069,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000414249960193985
"196","Fo.15.0","Fo","14","15","1",1858.06181068577,0.00000000000000000000000000000000000000000000000000000000000000000000000000123659070887283
"197","Quant.16.0","Quant","1","16","1",0.0315001603819999,0.000000000000000000000000000000000000000000000000000000000000000000000000000000184305013619482
"198","Sigma.16.0","Sigma","2","16","1",3.15195749770176,0.000000000000000000000113989036807855
"199","Connect.16.0","Connect","3","16","1",0.440999215831137,0.0000000277636369437849
"200","Tau1.16.0","Tau1","4","16","1",2155.00413912032,0.00000000711306792292677
"201","Tau2.16.0","Tau2","5","16","1",18099601.4379241,0.000725630442524439
"202","NPQ.16.0","NPQ","6","16","1",0.296832284049092,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000129753704113129
"203","qP.16.0","qP","7","16","1",0.521741178137636,0.000000000000000000000000000000000000000000000000000000000000000000000000000000368610027238964
"204","ABQ.16.0","ABQ","8","16","1",0.347792324309406,0.000000000000000000000113989036807855
"205","qm.16.0","qm","9","16","1",0.91986855197948,0.000000000000000000000000000000000000000000000000000000000000000000000000000000184305013619482
"206","nTau1.16.0","nTau1","10","16","1",1.8200492405726,0.00000000711306792292677
"207","nTau2.16.0","nTau2","11","16","1",33.3347199306025,0.000725630442524439
"208","nCon.16.0","nCon","12","16","1",1.48880163063225,0.0000000277636369437849
"209","Fm.16.0","Fm","13","16","1",2152.87760091335,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000129753704113129
"210","Fo.16.0","Fo","14","16","1",2085.06161120176,0.000000000000000000000000000000000000000000000000000000000000000000000000000000368610027238964
"211","Quant.17.0","Quant","1","17","1",0.0269880705241458,0.000000000000000000000000000000000000000000000000000000000000000000000000000105228395145111
"212","Sigma.17.0","Sigma","2","17","1",3.40182785669113,0.00000000000000000162588146154814
"213","Connect.17.0","Connect","3","17","1",0.479318809028355,0.000000272402581123687
"214","Tau1.17.0","Tau1","4","17","1",2899.52755966497,0.0000000881720084279358
"215","Tau2.17.0","Tau2","5","17","1",36742100.4120735,0.283354033688869
