cookie,Image,Color_mean,Color_SD,Folder,Date,Site,Tank_color,Temperature,Bag_number,Project,Country,SITE,Latitude,Longitude,Species,Genotype,Condition,Pam_value,Timepoint,SampleID_clean,MINIMUM_DEPTH_FEET,MAXIMUM_DEPTH_FEET,MINIMUM_DEPTH_METERS,MAXIMUM_DEPTH_METERS,Color_mean_inverted
6,IMG_4711.jpg,7.07,0.364,02.10.2026_ESA-TUT-011_AFTER,20260210,11,4-yellow,35,20,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,ICRA,2,wild,0.542,420,11_ICRA_2,29,44,8.8392,13.4112,247.93
7,IMG_4711.jpg,6.951,0.789,02.10.2026_ESA-TUT-011_AFTER,20260210,11,4-yellow,35,19,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,ICRA,3,wild,0.622,420,11_ICRA_3,29,44,8.8392,13.4112,248.049
8,IMG_4711.jpg,6.953,0.539,02.10.2026_ESA-TUT-011_AFTER,20260210,11,4-yellow,35,29,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,ICRA,4,wild,0.611,420,11_ICRA_4,29,44,8.8392,13.4112,248.047
9,IMG_4711.jpg,6.943,0.467,02.10.2026_ESA-TUT-011_AFTER,20260210,11,4-yellow,35,26,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,ICRA,5,wild,0.588,420,11_ICRA_5,29,44,8.8392,13.4112,248.057
10,IMG_4711.jpg,7.072,0.639,02.10.2026_ESA-TUT-011_AFTER,20260210,11,4-yellow,35,4,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,ICRA,6,wild,0.594,420,11_ICRA_6,29,44,8.8392,13.4112,247.928
11,IMG_4711.jpg,7.319,0.459,02.10.2026_ESA-TUT-011_AFTER,20260210,11,4-yellow,35,28,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,ICRA,7,wild,0.576,420,11_ICRA_7,29,44,8.8392,13.4112,247.681
12,IMG_4711.jpg,5.466,0.672,02.10.2026_ESA-TUT-011_AFTER,20260210,11,4-yellow,35,27,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,ICRA,8,wild,0.638,420,11_ICRA_8,29,44,8.8392,13.4112,249.534
13,IMG_4711.jpg,5.547,0.575,02.10.2026_ESA-TUT-011_AFTER,20260210,11,4-yellow,35,23,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AGLO,1,wild,0.661,420,11_AGLO_1,29,44,8.8392,13.4112,249.453
14,IMG_4711.jpg,5.037,0.576,02.10.2026_ESA-TUT-011_AFTER,20260210,11,4-yellow,35,24,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AGLO,2,wild,0.647,420,11_AGLO_2,29,44,8.8392,13.4112,249.963
15,IMG_4711.jpg,4.968,0.454,02.10.2026_ESA-TUT-011_AFTER,20260210,11,4-yellow,35,11,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AGLO,3,wild,0.663,420,11_AGLO_3,29,44,8.8392,13.4112,250.032
16,IMG_4711.jpg,5.179,0.642,02.10.2026_ESA-TUT-011_AFTER,20260210,11,4-yellow,35,12,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AGLO,4,wild,0.669,420,11_AGLO_4,29,44,8.8392,13.4112,249.821
17,IMG_4711.jpg,5.286,0.751,02.10.2026_ESA-TUT-011_AFTER,20260210,11,4-yellow,35,13,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AGLO,5,wild,0.642,420,11_AGLO_5,29,44,8.8392,13.4112,249.714
18,IMG_4711.jpg,6.474,0.455,02.10.2026_ESA-TUT-011_AFTER,20260210,11,4-yellow,35,33,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AGLO,6,wild,0.673,420,11_AGLO_6,29,44,8.8392,13.4112,248.526
19,IMG_4711.jpg,6.26,0.497,02.10.2026_ESA-TUT-011_AFTER,20260210,11,4-yellow,35,14,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AGLO,7,wild,0.666,420,11_AGLO_7,29,44,8.8392,13.4112,248.74
20,IMG_4711.jpg,6.89,0.598,02.10.2026_ESA-TUT-011_AFTER,20260210,11,4-yellow,35,32,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AGLO,8,wild,0.68,420,11_AGLO_8,29,44,8.8392,13.4112,248.11
1,IMG_4712.jpg,6.194,0.926,02.10.2026_ESA-TUT-011_AFTER,20260210,11,5-orange,38,18,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AHYA,1,wild,0.33,420,11_AHYA_1,29,44,8.8392,13.4112,248.806
2,IMG_4712.jpg,4.13,0.609,02.10.2026_ESA-TUT-011_AFTER,20260210,11,5-orange,38,16,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AHYA,2,wild,0.122,420,11_AHYA_2,29,44,8.8392,13.4112,250.87
3,IMG_4712.jpg,6.467,0.445,02.10.2026_ESA-TUT-011_AFTER,20260210,11,5-orange,38,17,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AABR,1,wild,0.185,420,11_AABR_1,29,44,8.8392,13.4112,248.533
4,IMG_4712.jpg,5.549,0.802,02.10.2026_ESA-TUT-011_AFTER,20260210,11,5-orange,38,21,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AABR,2,wild,0.254,420,11_AABR_2,29,44,8.8392,13.4112,249.451
5,IMG_4712.jpg,6.46,0.807,02.10.2026_ESA-TUT-011_AFTER,20260210,11,5-orange,38,10,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,ICRA,1,wild,0.281,420,11_ICRA_1,29,44,8.8392,13.4112,248.54
6,IMG_4712.jpg,6.395,0.728,02.10.2026_ESA-TUT-011_AFTER,20260210,11,5-orange,38,20,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,ICRA,2,wild,0.245,420,11_ICRA_2,29,44,8.8392,13.4112,248.605
7,IMG_4712.jpg,6.442,0.983,02.10.2026_ESA-TUT-011_AFTER,20260210,11,5-orange,38,19,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,ICRA,3,wild,0.451,420,11_ICRA_3,29,44,8.8392,13.4112,248.558
8,IMG_4712.jpg,6.925,0.518,02.10.2026_ESA-TUT-011_AFTER,20260210,11,5-orange,38,29,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,ICRA,4,wild,0.215,420,11_ICRA_4,29,44,8.8392,13.4112,248.075
9,IMG_4712.jpg,6.091,1.146,02.10.2026_ESA-TUT-011_AFTER,20260210,11,5-orange,38,26,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,ICRA,5,wild,0.309,420,11_ICRA_5,29,44,8.8392,13.4112,248.909
10,IMG_4712.jpg,7.307,0.669,02.10.2026_ESA-TUT-011_AFTER,20260210,11,5-orange,38,4,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,ICRA,6,wild,0.22,420,11_ICRA_6,29,44,8.8392,13.4112,247.693
11,IMG_4712.jpg,6.671,0.858,02.10.2026_ESA-TUT-011_AFTER,20260210,11,5-orange,38,28,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,ICRA,7,wild,0.178,420,11_ICRA_7,29,44,8.8392,13.4112,248.329
12,IMG_4712.jpg,6.244,0.964,02.10.2026_ESA-TUT-011_AFTER,20260210,11,5-orange,38,27,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,ICRA,8,wild,0.129,420,11_ICRA_8,29,44,8.8392,13.4112,248.756
13,IMG_4712.jpg,3.753,0.473,02.10.2026_ESA-TUT-011_AFTER,20260210,11,5-orange,38,23,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AGLO,1,wild,0.279,420,11_AGLO_1,29,44,8.8392,13.4112,251.247
