"","cookie","Image","Color_mean","Color_SD","Folder","Date","Site","Tank_color","Temperature","Bag_number","Project","Country","SITE","Latitude","Longitude","Species","Genotype","Condition","Pam_value","Timepoint","SampleID_clean","MINIMUM_DEPTH_FEET","MAXIMUM_DEPTH_FEET","MINIMUM_DEPTH_METERS","MAXIMUM_DEPTH_METERS","Mean_inverted","Rel_Temperature","X","site","species","genotype","K_2","K_3","K_4","K_5","K_6","K_7","K_8","K_9","K_10","K_11","K_12","K_13","K_14","K_15","ED50"
"48",8,"IMG_4710.jpg",6.886,0.576,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","3-red",34,29,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"ICRA",4,"wild",0.586,420,"11_ICRA_4",29,44,8.8392,13.4112,3.114,5,60,11,"icra",4,2,"2",2,3,3,3,4,5,5,8,8,9,10,10,37.81
"49",9,"IMG_4710.jpg",6.635,0.755,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","3-red",34,26,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"ICRA",5,"wild",0.594,420,"11_ICRA_5",29,44,8.8392,13.4112,3.365,5,61,11,"icra",5,1,"1",1,2,2,2,2,2,2,2,2,2,2,2,37.27
"50",10,"IMG_4710.jpg",6.849,0.692,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","3-red",34,4,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"ICRA",6,"wild",0.625,420,"11_ICRA_6",29,44,8.8392,13.4112,3.151,5,62,11,"icra",6,2,"2",2,3,3,3,4,5,5,8,8,9,10,10,37.43
"51",11,"IMG_4710.jpg",6.674,0.553,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","3-red",34,28,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"ICRA",7,"wild",0.578,420,"11_ICRA_7",29,44,8.8392,13.4112,3.326,5,63,11,"icra",7,2,"2",2,3,3,3,4,5,5,8,8,9,10,10,37.49
"52",12,"IMG_4710.jpg",6.513,0.507,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","3-red",34,27,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"ICRA",8,"wild",0.585,420,"11_ICRA_8",29,44,8.8392,13.4112,3.487,5,64,11,"icra",8,1,"1",1,2,2,2,2,2,2,2,2,2,2,2,37.54
"53",13,"IMG_4710.jpg",4.787,0.96,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","3-red",34,23,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"AGLO",1,"wild",0.633,420,"11_AGLO_1",29,44,8.8392,13.4112,5.213,5,45,11,"aglo",1,1,"3",4,5,5,6,7,8,8,9,9,10,11,11,37.71
"54",14,"IMG_4710.jpg",5.654,0.319,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","3-red",34,24,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"AGLO",2,"wild",0.586,420,"11_AGLO_2",29,44,8.8392,13.4112,4.346,5,46,11,"aglo",2,1,"3",4,5,6,7,8,9,9,10,10,11,12,12,38.38
"55",15,"IMG_4710.jpg",6.299,0.627,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","3-red",34,11,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"AGLO",3,"wild",0.67,420,"11_AGLO_3",29,44,8.8392,13.4112,3.701,5,47,11,"aglo",3,1,"3",4,5,5,6,7,8,8,9,9,10,11,11,37.72
"56",16,"IMG_4710.jpg",6.124,0.654,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","3-red",34,12,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"AGLO",4,"wild",0.612,420,"11_AGLO_4",29,44,8.8392,13.4112,3.876,5,48,11,"aglo",4,1,"3",4,5,6,7,8,9,9,10,10,11,12,12,38.06
"57",17,"IMG_4710.jpg",5.58,0.745,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","3-red",34,13,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"AGLO",5,"wild",0.573,420,"11_AGLO_5",29,44,8.8392,13.4112,4.42,5,49,11,"aglo",5,1,"3",4,5,5,6,7,8,8,9,9,10,11,11,37.53
"58",18,"IMG_4710.jpg",5.638,0.751,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","3-red",34,33,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"AGLO",6,"wild",0.651,420,"11_AGLO_6",29,44,8.8392,13.4112,4.362,5,50,11,"aglo",6,1,"3",4,5,6,7,8,9,9,10,10,11,12,12,38.49
"59",19,"IMG_4710.jpg",5.961,0.942,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","3-red",34,14,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"AGLO",7,"wild",0.665,420,"11_AGLO_7",29,44,8.8392,13.4112,4.039,5,51,11,"aglo",7,1,"3",4,5,5,6,7,8,8,9,9,10,11,11,38.18
"60",20,"IMG_4710.jpg",6.634,0.553,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","3-red",34,32,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"AGLO",8,"wild",0.65,420,"11_AGLO_8",29,44,8.8392,13.4112,3.366,5,52,11,"aglo",8,1,"3",4,5,5,6,7,8,8,9,9,10,11,11,38.01
"61",1,"IMG_4711.jpg",6.568,0.635,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","4-yellow",35,18,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"AHYA",1,"wild",0.584,420,"11_AHYA_1",29,44,8.8392,13.4112,3.432,6,54,11,"ahya",1,1,"1",1,1,1,1,1,3,3,3,3,3,3,3,38.04
"62",2,"IMG_4711.jpg",4.478,0.56,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","4-yellow",35,16,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"AHYA",2,"wild",0.456,420,"11_AHYA_2",29,44,8.8392,13.4112,5.522,6,55,11,"ahya",2,1,"1",1,1,1,1,1,3,3,3,3,3,3,3,37.7
"63",3,"IMG_4711.jpg",7.075,0.447,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","4-yellow",35,17,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"AABR",1,"wild",0.688,420,"11_AABR_1",29,44,8.8392,13.4112,2.925,6,42,11,"aabr",1,1,"3",4,5,5,6,7,8,8,9,9,10,11,11,37.74
"64",4,"IMG_4711.jpg",5.864,0.718,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","4-yellow",35,21,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"AABR",2,"wild",0.666,420,"11_AABR_2",29,44,8.8392,13.4112,4.136,6,43,11,"aabr",2,1,"3",4,5,5,6,7,8,8,9,9,10,11,11,37.88
"65",5,"IMG_4711.jpg",6.727,0.645,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","4-yellow",35,10,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"ICRA",1,"wild",0.47,420,"11_ICRA_1",29,44,8.8392,13.4112,3.273,6,56,11,"icra",1,2,"2",2,3,3,3,4,5,5,8,8,9,10,10,37.22
"66",6,"IMG_4711.jpg",7.07,0.364,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","4-yellow",35,20,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"ICRA",2,"wild",0.542,420,"11_ICRA_2",29,44,8.8392,13.4112,2.93,6,58,11,"icra",2,2,"2",2,3,3,3,4,5,5,8,8,9,10,10,37.22
"67",7,"IMG_4711.jpg",6.951,0.789,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","4-yellow",35,19,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"ICRA",3,"wild",0.622,420,"11_ICRA_3",29,44,8.8392,13.4112,3.049,6,59,11,"icra",3,1,"1",1,2,2,2,3,4,4,4,4,4,4,4,38.7
"68",8,"IMG_4711.jpg",6.953,0.539,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","4-yellow",35,29,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"ICRA",4,"wild",0.611,420,"11_ICRA_4",29,44,8.8392,13.4112,3.047,6,60,11,"icra",4,2,"2",2,3,3,3,4,5,5,8,8,9,10,10,37.81
