"","uni","metric","metrix","stage","col","ASnormalized.t5_icra1.002r","pval"
"219","qm.17.0","qm","9","17","1",0.80834761411859,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000030518832300627
"220","nTau1.17.0","nTau1","10","17","1",2.43560396488412,0.0000000000000032436995624377
"221","nTau2.17.0","nTau2","11","17","1",8.42424502623446,0.00343397434598805
"222","nCon.17.0","nCon","12","17","1",0.98647454175399,0.0000010144250909458
"223","Fm.17.0","Fm","13","17","1",2126.95039055707,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000114148358205031
"224","Fo.17.0","Fo","14","17","1",2010.33031242872,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000610376646012539
"225","Quant.18.0","Quant","1","18","1",0.058088083328448,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000980129426707376
"226","Sigma.18.0","Sigma","2","18","1",3.61457194867467,0.000000000000000000000000000000346580058349468
"227","Connect.18.0","Connect","3","18","1",0.354941296698859,0.00000000571986834954804
"228","Tau1.18.0","Tau1","4","18","1",1035.80051850687,0.0000000000000000693195739450213
"229","Tau2.18.0","Tau2","5","18","1",12332922.1697806,0.00134668984432797
"230","NPQ.18.0","NPQ","6","18","1",0.370508340272723,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000129218808172964
"231","qP.18.0","qP","7","18","1",0.671264923334074,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000196025885341475
"232","ABQ.18.0","ABQ","8","18","1",0.329412899537729,0.000000000000000000000000000000346580058349468
"233","qm.18.0","qm","9","18","1",0.796958268044264,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000980129426707376
"234","nTau1.18.0","nTau1","10","18","1",1.5129410438571,0.0000000000000000693195739450213
"235","nTau2.18.0","nTau2","11","18","1",6.07398182676985,0.00134668984432797
"236","nCon.18.0","nCon","12","18","1",1.23222329876238,0.00000000571986834954804
"237","Fm.18.0","Fm","13","18","1",2076.012289204,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000129218808172964
"238","Fo.18.0","Fo","14","18","1",1955.42071435783,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000196025885341475
"239","Quant.19.0","Quant","1","19","1",0.0633730776542102,0.0000000000000000000000000000000000000000000000000000000000000000000000000000828613140895238
"240","Sigma.19.0","Sigma","2","19","1",3.58819091810642,0.0000000000000000000000000000179284422933878
"241","Connect.19.0","Connect","3","19","1",0.281219652968785,0.00000995841605591271
"242","Tau1.19.0","Tau1","4","19","1",894.076959355946,0.00000000000000234107288486186
"243","Tau2.19.0","Tau2","5","19","1",14659518.9621244,0.00214768523872292
"244","NPQ.19.0","NPQ","6","19","1",0.408723501558598,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000132938043019851
"245","qP.19.0","qP","7","19","1",0.719336649175699,0.000000000000000000000000000000000000000000000000000000000000000000000000000165722628179048
"246","ABQ.19.0","ABQ","8","19","1",0.334307193813003,0.0000000000000000000000000000179284422933878
"247","qm.19.0","qm","9","19","1",0.778485040149801,0.0000000000000000000000000000000000000000000000000000000000000000000000000000828613140895238
"248","nTau1.19.0","nTau1","10","19","1",1.30593266175083,0.00000000000000234107288486186
"249","nTau2.19.0","nTau2","11","19","1",7.21983407819687,0.00214768523872292
"250","nCon.19.0","nCon","12","19","1",0.97628935173471,0.00000995841605591271
"251","Fm.19.0","Fm","13","19","1",2019.69524446412,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000132938043019851
"252","Fo.19.0","Fo","14","19","1",1891.70094089886,0.000000000000000000000000000000000000000000000000000000000000000000000000000165722628179048
"253","Quant.20.0","Quant","1","20","1",0.0689626252859849,0.0000000000000000000000000000000000000000000000000000000000000000000000000000603057016522113
"254","Sigma.20.0","Sigma","2","20","1",3.2272749597721,0.00000000000000000000000000000115301194131885
"255","Connect.20.0","Connect","3","20","1",0.411876144252279,0.0000000000896806747412589
"256","Tau1.20.0","Tau1","4","20","1",882.077791686604,0.00000000000331408903321262
"257","Tau2.20.0","Tau2","5","20","1",6931712.2883943,0.0000221354315756618
"258","NPQ.20.0","NPQ","6","20","1",0.450125318734705,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000499883270910625
"259","qP.20.0","qP","7","20","1",0.768356024879136,0.000000000000000000000000000000000000000000000000000000000000000000000000000120611403304423
"260","ABQ.20.0","ABQ","8","20","1",0.401265491903796,0.00000000000000000000000000000115301194131885
"261","qm.20.0","qm","9","20","1",0.758947273245228,0.0000000000000000000000000000000000000000000000000000000000000000000000000000603057016522113
"262","nTau1.20.0","nTau1","10","20","1",1.2884060888879,0.00000000000331408903321262
