"","uni","metric","metrix","stage","col","ASnormalized.ahya3.002r","pval"
"189","qP.15.0","qP","7","15","1",0.632428371398914,0.0000000000000000000000000000000000000000000000000000000000000000000000000187001036271118
"190","ABQ.15.0","ABQ","8","15","1",-0.0927600255210863,0.0000000000000000000000000000000000000000128928625582223
"191","qm.15.0","qm","9","15","1",0.666987416922663,0.00000000000000000000000000000000000000000000000000000000000000000000000000935005181355588
"192","nTau1.15.0","nTau1","10","15","1",1.94966452037938,0.0000000000000000340968754746765
"193","nTau2.15.0","nTau2","11","15","1",3.09232401316664,0.0000000276189204126987
"194","nCon.15.0","nCon","12","15","1",0.764944663106882,0.000000000349237477476439
"195","Fm.15.0","Fm","13","15","1",2754.27044799124,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105902112896756
"196","Fo.15.0","Fo","14","15","1",2387.44447018129,0.0000000000000000000000000000000000000000000000000000000000000000000000000187001036271118
"197","Quant.16.0","Quant","1","16","1",0.0475968194699745,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000032845358857465
"198","Sigma.16.0","Sigma","2","16","1",3.10936761962808,0.00000000000000000000000000000164741909320554
"199","Connect.16.0","Connect","3","16","1",0.514284701488689,0.000000000000000689454691625391
"200","Tau1.16.0","Tau1","4","16","1",1826.53318274727,0.0000000000426404662153059
"201","Tau2.16.0","Tau2","5","16","1",7205444.42990497,0.000000162630976902055
"202","NPQ.16.0","NPQ","6","16","1",0.166334051865748,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000370149282151392
"203","qP.16.0","qP","7","16","1",0.402250425746724,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000656907177149299
"204","ABQ.16.0","ABQ","8","16","1",0.266708206960625,0.00000000000000000000000000000164741909320554
"205","qm.16.0","qm","9","16","1",0.880989555982964,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000032845358857465
"206","nTau1.16.0","nTau1","10","16","1",2.31113407228287,0.0000000000426404662153059
"207","nTau2.16.0","nTau2","11","16","1",7.79418743058521,0.000000162630976902055
"208","nCon.16.0","nCon","12","16","1",1.57991954403599,0.000000000000000689454691625391
"209","Fm.16.0","Fm","13","16","1",2876.48596390114,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000370149282151392
"210","Fo.16.0","Fo","14","16","1",2739.57438076942,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000656907177149299
"211","Quant.17.0","Quant","1","17","1",0.0443812622113968,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000431049121594416
"212","Sigma.17.0","Sigma","2","17","1",3.13846690568283,0.0000000000000000000000000000411334234440963
"213","Connect.17.0","Connect","3","17","1",0.380343222090025,0.0000000088987684229623
"214","Tau1.17.0","Tau1","4","17","1",2297.05513852936,0.00000000000591856986333983
"215","Tau2.17.0","Tau2","5","17","1",9777468.45117093,0.00000605888673684019
"216","NPQ.17.0","NPQ","6","17","1",0.201454059970997,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000891779232401841
"217","qP.17.0","qP","7","17","1",0.448727950498114,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000862098243188831
"218","ABQ.17.0","ABQ","8","17","1",0.259845632232391,0.0000000000000000000000000000411334234440963
"219","qm.17.0","qm","9","17","1",0.889029691886308,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000431049121594416
"220","nTau1.17.0","nTau1","10","17","1",2.9064910764899,0.00000000000591856986333983
"221","nTau2.17.0","nTau2","11","17","1",10.5763665859074,0.00000605888673684019
"222","nCon.17.0","nCon","12","17","1",1.16844169830875,0.0000000088987684229623
"223","Fm.17.0","Fm","13","17","1",2792.40267371751,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000891779232401841
"224","Fo.17.0","Fo","14","17","1",2668.47231845544,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000862098243188831
"225","Quant.18.0","Quant","1","18","1",0.0485365443697415,0.000000000000000000000000000000000000000000000000000000000000000000000000000000478837145606058
"226","Sigma.18.0","Sigma","2","18","1",3.56142154320483,0.00000000000000000000000000310296963111995
"227","Connect.18.0","Connect","3","18","1",0.275967505297248,0.0000850234507347622
"228","Tau1.18.0","Tau1","4","18","1",1919.88839283668,0.000000000000189154143852474
"229","Tau2.18.0","Tau2","5","18","1",10519374.5357424,0.00000033255758582471
"230","NPQ.18.0","NPQ","6","18","1",0.223709910207563,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000918907105806756
"231","qP.18.0","qP","7","18","1",0.487898814924512,0.000000000000000000000000000000000000000000000000000000000000000000000000000000957674291212116
"232","ABQ.18.0","ABQ","8","18","1",0.160098930502756,0.00000000000000000000000000310296963111995
"233","qm.18.0","qm","9","18","1",0.878639880546233,0.000000000000000000000000000000000000000000000000000000000000000000000000000000478837145606058
"234","nTau1.18.0","nTau1","10","18","1",2.42925752544578,0.000000000000189154143852474
"235","nTau2.18.0","nTau2","11","18","1",11.3788923891795,0.00000033255758582471
"236","nCon.18.0","nCon","12","18","1",0.847791999015094,0.0000850234507347622
"237","Fm.18.0","Fm","13","18","1",2741.61670296738,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000918907105806756
"238","Fo.18.0","Fo","14","18","1",2608.54810221898,0.000000000000000000000000000000000000000000000000000000000000000000000000000000957674291212116
"239","Quant.19.0","Quant","1","19","1",0.0492249768527009,0.000000000000000000000000000000000000000000000000000000000000000000000000000000617778594604376
"240","Sigma.19.0","Sigma","2","19","1",2.91211311306985,0.00000000000000000000000000424584843029422
"241","Connect.19.0","Connect","3","19","1",0.410333851071913,0.0000000139229400484355
"242","Tau1.19.0","Tau1","4","19","1",1544.59377537426,0.00000000000859599936686699
"243","Tau2.19.0","Tau2","5","19","1",7596690.35452146,0.00000193235590266992
"244","NPQ.19.0","NPQ","6","19","1",0.247941316192998,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000212442082422704
"245","qP.19.0","qP","7","19","1",0.522217463652263,0.00000000000000000000000000000000000000000000000000000000000000000000000000000123555718920873
"246","ABQ.19.0","ABQ","8","19","1",0.313227347986633,0.00000000000000000000000000424584843029422
"247","qm.19.0","qm","9","19","1",0.876918533271664,0.000000000000000000000000000000000000000000000000000000000000000000000000000000617778594604376
"248","nTau1.19.0","nTau1","10","19","1",1.95439280042765,0.00000000000859599936686699
"249","nTau2.19.0","nTau2","11","19","1",8.21740130692257,0.00000193235590266992
"250","nCon.19.0","nCon","12","19","1",1.26057506476756,0.0000000139229400484355
"251","Fm.19.0","Fm","13","19","1",2688.38244705804,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000212442082422704
"252","Fo.19.0","Fo","14","19","1",2556.0468833304,0.00000000000000000000000000000000000000000000000000000000000000000000000000000123555718920873
"253","Quant.20.0","Quant","1","20","1",0.0488676708606118,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000396308030156356
"254","Sigma.20.0","Sigma","2","20","1",3.23681552798524,0.000000000000000000000000000514144698548731
"255","Connect.20.0","Connect","3","20","1",0.325239487993157,0.00000431210596172008
"256","Tau1.20.0","Tau1","4","20","1",1620.33901131976,0.00000000766253759494094
"257","Tau2.20.0","Tau2","5","20","1",7603951.59774705,0.0000721004237385002
"258","NPQ.20.0","NPQ","6","20","1",0.275223171363196,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000731539006489341
"259","qP.20.0","qP","7","20","1",0.557348159970261,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000792616060312711
"260","ABQ.20.0","ABQ","8","20","1",0.236651772125328,0.000000000000000000000000000514144698548731
"261","qm.20.0","qm","9","20","1",0.877811936344433,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000396308030156356
