"","uni","metric","metrix","stage","col","ASnormalized.t9_ahya3.002r","pval"
"567","qP.16.1","qP","7","16","2",0.509351286958061,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000246058078758449
"568","ABQ.16.1","ABQ","8","16","2",0.308833812347419,0.00000000000000000000000000782257231015033
"569","qm.16.1","qm","9","16","2",0.88184073140351,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000123029039379225
"570","nTau1.16.1","nTau1","10","16","2",1.72613627981647,0.0000000000489108432317199
"571","nTau2.16.1","nTau2","11","16","2",7.62923904188707,0.00000240425461403011
"572","nCon.16.1","nCon","12","16","2",1.35988676859294,0.000000000141274882319937
"573","Fm.16.1","Fm","13","16","2",2802.90667294764,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000019267424710991
"574","Fo.16.1","Fo","14","16","2",2694.0028400314,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000246058078758449
"575","Quant.17.1","Quant","1","17","2",0.0386242557119025,0.000000000000000000000000000000000000000000000000000000000000000000000000000000283016207475168
"576","Sigma.17.1","Sigma","2","17","2",3.23324052124024,0.000000000000000000000000258484489591479
"577","Connect.17.1","Connect","3","17","2",0.385957214590453,0.000000102343436811603
"578","Tau1.17.1","Tau1","4","17","2",1198.19023560102,0.0000000000102863879389113
"579","Tau2.17.1","Tau2","5","17","2",8935040.31266572,0.000000923553642925388
"580","NPQ.17.1","NPQ","6","17","2",0.321742412892896,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000552910335015198
"581","qP.17.1","qP","7","17","2",0.58037385337055,0.000000000000000000000000000000000000000000000000000000000000000000000000000000566032414950337
"582","ABQ.17.1","ABQ","8","17","2",0.267099066554241,0.000000000000000000000000258484489591479
"583","qm.17.1","qm","9","17","2",0.882539082182999,0.000000000000000000000000000000000000000000000000000000000000000000000000000000283016207475168
"584","nTau1.17.1","nTau1","10","17","2",1.7000637946944,0.0000000000102863879389113
"585","nTau2.17.1","nTau2","11","17","2",8.14290031270612,0.000000923553642925388
