"","uni","metric","metrix","stage","col","ASnormalized.aabr5.005r","pval"
"173","Tau2.14.0","Tau2","5","14","1",5221727.75567473,0.00000612934697008028
"174","NPQ.14.0","NPQ","6","14","1",0.126698603285395,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000127593786354564
"175","qP.14.0","qP","7","14","1",0.506381393450271,0.00000000000000000000000000000000000000000000000000000000000000000000000000179496217541329
"176","ABQ.14.0","ABQ","8","14","1",-0.0501370525598817,0.0000000000000000000000000000000000000657463451078574
"177","qm.14.0","qm","9","14","1",0.718646035101366,0.000000000000000000000000000000000000000000000000000000000000000000000000000897481087706646
"178","nTau1.14.0","nTau1","10","14","1",2.33739317650462,0.0000000000000000000456852883526706
"179","nTau2.14.0","nTau2","11","14","1",5.25545206974301,0.00000612934697008028
"180","nCon.14.0","nCon","12","14","1",0.907768304904918,0.000000000798623137552963
"181","Fm.14.0","Fm","13","14","1",3205.16132156684,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000127593786354564
"182","Fo.14.0","Fo","14","14","1",2879.07246708264,0.00000000000000000000000000000000000000000000000000000000000000000000000000179496217541329
"183","Quant.15.0","Quant","1","15","1",0.109335712608296,0.00000000000000000000000000000000000000000000000000000000000000000000000000187797763535318
"184","Sigma.15.0","Sigma","2","15","1",4.70676324935644,0.00000000000000000000000000000000000000889104122721477
"185","Connect.15.0","Connect","3","15","1",0.211279565527438,0.000000936924820269435
"186","Tau1.15.0","Tau1","4","15","1",1849.81200636635,0.0000000000000000000563427821212776
"187","Tau2.15.0","Tau2","5","15","1",3959719.6093248,0.0000000489317865675364
"188","NPQ.15.0","NPQ","6","15","1",0.123378726602146,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000956496643098452
"189","qP.15.0","qP","7","15","1",0.517387176578614,0.00000000000000000000000000000000000000000000000000000000000000000000000000375595527070636
"190","ABQ.15.0","ABQ","8","15","1",-0.0816007785474364,0.00000000000000000000000000000000000000889104122721477
"191","qm.15.0","qm","9","15","1",0.697636741039067,0.00000000000000000000000000000000000000000000000000000000000000000000000000187797763535318
"192","nTau1.15.0","nTau1","10","15","1",2.26311754503473,0.0000000000000000000563427821212776
"193","nTau2.15.0","nTau2","11","15","1",3.98529329565536,0.0000000489317865675364
"194","nCon.15.0","nCon","12","15","1",0.678804035940417,0.000000936924820269435
"195","Fm.15.0","Fm","13","15","1",3214.63340794834,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000956496643098452
"196","Fo.15.0","Fo","14","15","1",2863.15917351587,0.00000000000000000000000000000000000000000000000000000000000000000000000000375595527070636
"197","Quant.16.0","Quant","1","16","1",0.0351029966121193,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000769641119619479
"198","Sigma.16.0","Sigma","2","16","1",3.44570852282134,0.0000000000000000000000000384298480213834
"199","Connect.16.0","Connect","3","16","1",0.435731619480287,0.00000000144843572929109
"200","Tau1.16.0","Tau1","4","16","1",2375.72313718331,0.000000105201696883709
"201","Tau2.16.0","Tau2","5","16","1",20644144.3635794,0.0103968313971154
"202","NPQ.16.0","NPQ","6","16","1",0.0772329552947444,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000289702567761508
"203","qP.16.0","qP","7","16","1",0.260451980281132,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000153928223923896
"204","ABQ.16.0","ABQ","8","16","1",0.208186003100819,0.0000000000000000000000000384298480213834
"205","qm.16.0","qm","9","16","1",0.902924157151104,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000769641119619479
"206","nTau1.16.0","nTau1","10","16","1",2.90653358038574,0.000000105201696883709
"207","nTau2.16.0","nTau2","11","16","1",20.7774737213636,0.0103968313971154
"208","nCon.16.0","nCon","12","16","1",1.39992895740625,0.00000000144843572929109
"209","Fm.16.0","Fm","13","16","1",3352.33968341197,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000289702567761508
"210","Fo.16.0","Fo","14","16","1",3234.66251486249,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000153928223923896
"211","Quant.17.0","Quant","1","17","1",0.0340925919619734,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000252598219182924
"212","Sigma.17.0","Sigma","2","17","1",3.59758949652544,0.00000000000000000000000143116852480588
"213","Connect.17.0","Connect","3","17","1",0.26178721110311,0.00149545498400456
"214","Tau1.17.0","Tau1","4","17","1",1131.98782165279,0.000000329093319207092
"215","Tau2.17.0","Tau2","5","17","1",10793025.9149015,0.000604369325486202
"216","NPQ.17.0","NPQ","6","17","1",0.104923541667908,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000947966338226313
"217","qP.17.0","qP","7","17","1",0.314232791816714,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000505196438365848
"218","ABQ.17.0","ABQ","8","17","1",0.173284188265037,0.00000000000000000000000143116852480588
"219","qm.17.0","qm","9","17","1",0.905718388199672,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000252598219182924
"220","nTau1.17.0","nTau1","10","17","1",1.38490911029405,0.000000329093319207092
"221","nTau2.17.0","nTau2","11","17","1",10.8627322291201,0.000604369325486202
"222","nCon.17.0","nCon","12","17","1",0.84107620635607,0.00149545498400456
"223","Fm.17.0","Fm","13","17","1",3268.32640280472,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000947966338226313
"224","Fo.17.0","Fo","14","17","1",3156.90068435536,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000505196438365848
"225","Quant.18.0","Quant","1","18","1",0.0323608437086361,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000161298118175465
"226","Sigma.18.0","Sigma","2","18","1",3.33738488642753,0.00000000000000000000000138746415327096
"227","Connect.18.0","Connect","3","18","1",0.498553743497629,0.0000000000635640958445789
"228","Tau1.18.0","Tau1","4","18","1",1313.84570116908,0.000000184684017783938
"229","Tau2.18.0","Tau2","5","18","1",8983532.82110541,0.000078159717465175
"230","NPQ.18.0","NPQ","6","18","1",0.128751556537037,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000343060109201096
"231","qP.18.0","qP","7","18","1",0.356491460235686,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000322596236350929
"232","ABQ.18.0","ABQ","8","18","1",0.2330784659785,0.00000000000000000000000138746415327096
"233","qm.18.0","qm","9","18","1",0.910507464276351,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000161298118175465
"234","nTau1.18.0","nTau1","10","18","1",1.6073996965913,0.000000184684017783938
"235","nTau2.18.0","nTau2","11","18","1",9.0415525985579,0.000078159717465175
"236","nCon.18.0","nCon","12","18","1",1.60176537837231,0.0000000000635640958445789
"237","Fm.18.0","Fm","13","18","1",3199.33183117186,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000343060109201096
"238","Fo.18.0","Fo","14","18","1",3095.79875381124,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000322596236350929
"239","Quant.19.0","Quant","1","19","1",0.0337774049979025,0.000000000000000000000000000000000000000000000000000000000000000000000000000000431515571756358
"240","Sigma.19.0","Sigma","2","19","1",3.48922059066039,0.00000000000000000000622701633040723
"241","Connect.19.0","Connect","3","19","1",0.212812015184842,0.037360710520803
"242","Tau1.19.0","Tau1","4","19","1",1525.80043290524,0.000000000477446280622752
"243","Tau2.19.0","Tau2","5","19","1",17974577.3394652,0.00706141998037861
"244","NPQ.19.0","NPQ","6","19","1",0.144304146677607,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103976190989802
"245","qP.19.0","qP","7","19","1",0.388683392435309,0.000000000000000000000000000000000000000000000000000000000000000000000000000000863031143512716
"246","ABQ.19.0","ABQ","8","19","1",0.198187053938173,0.00000000000000000000622701633040723
"247","qm.19.0","qm","9","19","1",0.906590024331774,0.000000000000000000000000000000000000000000000000000000000000000000000000000000431515571756358
"248","nTau1.19.0","nTau1","10","19","1",1.86671170802509,0.000000000477446280622752
"249","nTau2.19.0","nTau2","11","19","1",18.0906654083581,0.00706141998037861
"250","nCon.19.0","nCon","12","19","1",0.68372752681245,0.037360710520803
"251","Fm.19.0","Fm","13","19","1",3155.84872675564,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103976190989802
"252","Fo.19.0","Fo","14","19","1",3049.2523461999,0.000000000000000000000000000000000000000000000000000000000000000000000000000000863031143512716
"253","Quant.20.0","Quant","1","20","1",0.0347060396869727,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000770397448437792
"254","Sigma.20.0","Sigma","2","20","1",3.62488206873859,0.00000000000000000000000342609506425012
"255","Connect.20.0","Connect","3","20","1",0.175436185397318,0.0565786870723856
"256","Tau1.20.0","Tau1","4","20","1",2166.26114092934,0.0000000116463581432526
"257","Tau2.20.0","Tau2","5","20","1",10768505.08521,0.000107464483888142
"258","NPQ.20.0","NPQ","6","20","1",0.168979840695119,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000307292317446594
"259","qP.20.0","qP","7","20","1",0.43518350727331,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000154079489687558
"260","ABQ.20.0","ABQ","8","20","1",0.167012432965184,0.00000000000000000000000342609506425012
"261","qm.20.0","qm","9","20","1",0.904021924629736,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000770397448437792
"262","nTau1.20.0","nTau1","10","20","1",2.65027125907476,0.0000000116463581432526
"263","nTau2.20.0","nTau2","11","20","1",10.838053032658,0.000107464483888142
