"","uni","metric","metrix","stage","col","ASnormalized.occ2_aglo13.005r","pval"
"251","Fm.19.0","Fm","13","19","1",2791.94698199678,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000689232556777404
"252","Fo.19.0","Fo","14","19","1",2699.29289251143,0.00000000000000000000000000000000000000000000000000000000000000000000000000000157576594494346
"253","Quant.20.0","Quant","1","20","1",0.0414063676207692,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000305149864718518
"254","Sigma.20.0","Sigma","2","20","1",3.56900582257353,0.0000000000000000000000000488655526210288
"255","Connect.20.0","Connect","3","20","1",0.308567307404869,0.0000781489261480874
"256","Tau1.20.0","Tau1","4","20","1",2061.41472026268,0.0000000106288561641349
"257","Tau2.20.0","Tau2","5","20","1",12874409.9633003,0.00413198514778427
"258","NPQ.20.0","NPQ","6","20","1",0.21135248849084,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108654277435802
"259","qP.20.0","qP","7","20","1",0.497488684249402,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000610299729437035
"260","ABQ.20.0","ABQ","8","20","1",0.24267959583617,0.0000000000000000000000000488655526210288
"261","qm.20.0","qm","9","20","1",0.891405757697041,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000305149864718518
"262","nTau1.20.0","nTau1","10","20","1",2.94931868665791,0.0000000106288561641349
